,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,match
14,1136,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,17384,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0,6.390928e-06
15,2089,netgear prosafe gs716t 16-port ethernet switch,networking,netgear,gs716t-200nas,238.0,687,netgear fs605na 5-port fast ethernet switch,switches,netgear,fs605na,21.99,3.2685016e-08
16,2020,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,electronics - general,da-lite,27557,6426.99,18153,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,,,0.00020427325
17,95,hp ce505xd black laserjet print cartridges 2pk,printers,hp,hp ce505xd,258.84,12,hp 85a laserjet black toner print cartridge - retail packaging ce285a,laser printer toner,hp,ce285a,,0.0008018306
18,2248,arrowmounts cantilever retractable wall mount for flat panel tvs up to 27,tv accessories,arrowmounts,am-p16b,39.99,4299,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b,tv mounts,arrowmounts,,,1.4099185e-06
19,54,canon imageformula dr-2010c compact color scanner,electronics - general,canon,dr-2010c,479.98,649,canon 2455b002 imageformula dr-2510c compact color scanner,scanners,canon,2455b002,617.99,0.329788
20,417,da-lite da-plex standard rear projection screen - 60 x 80 video format,electronics - general,da-lite,27544,2931.99,8786,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23056,8729.48,2.992783e-05
21,1468,boss audio bv9958b - single-din in-dash dvd mp3 cd am fm receiver with full detachable 7 widescreen touchscreen tft monitor usb and sd memory card ports and front panel aux input,car stereos,boss,bv9958b,180.0,4568,boss bv8966b in-dash 7 dvd mp3 cd receiver with usb sd card bluetooth and front panel aux input,accessories supplies,boss,bv8966b,180.95,0.01887413
22,1455,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,14080,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops,,24.3,0.00019091036
23,296,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,13803,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,1.2702831e-07
24,280,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,electronics - general,da-lite,35199,4612.99,17506,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,,da-lite,,,0.00024441918
25,2364,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets,stationery & office machinery,tops business forms,99712,11.58,17917,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505,storage presentation materials,tops,,19.0,0.05423239
26,1816,lexmark e450h11a toner 11000 page-yield black,printers,lexmark,e450h11a,248.27,1832,oki 52117101 - 52117101 toner 33000 page-yield black,cables interconnects,oki,,,6.5231514e-05
27,2258,san francisco 49ers camera case,electronics - general,tribeca,fva2773,19.99,8795,san francisco 49ers ipod touch 4g hard case,computers accessories,tribeca,,29.99,6.6968397e-07
28,340,birdhouse tony hawk 2gb full skull skatedrive usb flash drive,usb drives,ep memory,bh-skthfs/2g,9.84,363,birdhouse tony hawk 16gb ptero skatedrive usb flash drive,usb flash drives,action,,,7.136576e-06
29,2126,pny 4gb sdhc memory card class 4,usb drives,pny,p-sdhc4g4-ef,8.98,17202,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple,blank media,pny,p-sdhc4g2-ef / purple,12.71,5.99285e-07
30,222,uniden 1360bk desktop corded phone with caller id black,electronics - general,uniden,1360bk,23.98,6546,uniden slimline corded phone with cid cw - un-1260bk,corded telephones,uniden,,16.87,0.690843
31,1296,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27604,1609.99,17892,da-plex base rear projection screen - 57 3 4 x 77 video format,projection screens,da-lite,,2608.99,4.769297e-05
32,1365,los angeles lakers ipod touch 4g hard case,electronics - general,tribeca,fva4614,29.99,8795,san francisco 49ers ipod touch 4g hard case,computers accessories,tribeca,,29.99,0.08821475
33,934,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,13150,evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr,graphics cards,evga,512-p3-1301-kr,34.99,0.0017987945
34,934,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,19677,nvidia geforce 310 dms59 pcie16 512mb 2port vga dvi graphics card,,lenovo,57y4167,102.24,0.00015210568
35,538,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,17174,new-analog rca volume leveler - dct6s,accessories,srs,,65.0,1.8602185e-06
36,2472,da-lite da-glas self trimming rear projection screen - 96 x 120 av format,electronics - general,da-lite,27915,7443.99,16333,da-glas base rear projection screen - 70 x 70 av format,projection screens,da-lite,,2622.99,0.0057304557
37,2290,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs,tv accessories,orbital,resl422b-e,0.0,8322,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black,tv mounts,avf,resl422b-f,125.99,0.66404283
38,2149,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m552pink,94.54,2867,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,,104.95,8.0906347e-07
39,41,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module,memory,kingston,ktd-dm8400a / 1g,22.92,8856,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,memory,kingston,ktd-ws667 / 8g,230.74,0.00072866265
40,1559,paper mate mechanical pencil starter set,stationery & office machinery,paper mate,1739312,4.87,18207,paper mate 1739311 - megalead mechanical pencil starter set 0.5 mm 2 erasure refills red barrel,printer accessories,paper mate,,23.96,2.4025754e-05
41,1845,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1674r,90.88,2204,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,2.3376691e-05
