,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,match
17,2089,netgear prosafe gs716t 16-port ethernet switch gs716t-200nas,networking,netgear,,238.0,687,netgear fs605na 5-port fast ethernet switch netgear fs605na 21.99,switches,,,,4.4691686e-05
18,2020,da-lite da-plex deluxe rear projection screen - 96 x 96 av format electronics - general da-lite 27557 6426.99,,,,,18153,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,projection screens,da-lite,,,1.3465941e-08
19,95,hp ce505xd black laserjet print cartridges 2pk hp hp ce505xd 258.84,printers,,,,12,hp 85a laserjet black toner print cartridge - retail packaging ce285a hp ce285a,laser printer toner,,,,0.008422156
20,2248,arrowmounts cantilever retractable wall mount for flat panel tvs up to 27 tv accessories arrowmounts 39.99,,,am-p16b,,4299,arrowmounts universal tilting wall mount for flat panel tvs from 23 to 37 inches am-t2337b arrowmounts,tv mounts,,,,3.2466196e-11
21,1534,griffin ipod touch 4g formfit case pink clear arkon,mp3 accessories,,gb01959,17.13,1090,griffin technology formfit for ipod touch 4g pink clear griffin technology 7.53,cases,,gb01959,,0.03624188
22,2118,antec tricool 92mm double ball bearing case fan electronics - general antec tricool 92mm dbb 8.25,,,,,5344,antec tricool case fan tricool 120mm 11.19,,antec,tricool 120mm,,2.7438216e-06
23,54,canon imageformula dr-2010c compact color scanner electronics - general canon dr-2010c,,,,479.98,649,canon 2455b002 imageformula dr-2510c compact color scanner 617.99,scanners,canon,2455b002,,0.00035495657
24,417,da-lite da-plex standard rear projection screen - 60 x 80 video format electronics - general da-lite 27544 2931.99,,,,,8786,da-lite da-glas thru-the-wall rear projection screen - 90 x 120 video format 8729.48,projection screens,da-lite,23056,,9.8860395e-09
25,1468,boss audio bv9958b - single-din in-dash dvd mp3 cd am fm receiver with full detachable 7 widescreen touchscreen tft monitor usb and sd memory card ports and front panel aux input boss bv9958b,car stereos,,,180.0,4568,boss bv8966b in-dash 7 dvd mp3 cd receiver with usb sd card bluetooth and front panel aux input accessories supplies boss 180.95,,,bv8966b,,0.4075068
26,1455,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets tops business forms,stationery & office machinery,,74109,5.54,14080,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets printers tops 24.3,,,,,0.045125198
27,296,belkin 10.2 netbook neoprene sleeve - black belkin,electronics - general,,f8n132-blk,8.88,13803,icon-icon4-blk neoprene notebook sleeve black motion systems 9.99,bags cases,,icon4-blk,,1.9032365e-09
28,280,da-lite da-tex rear tensioned advantage electrol - hdtv format 184 diagonal,electronics - general,da-lite,35199,4612.99,17506,da-lite 98813 hc da-mat tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal da-lite,,,,,1.12379865e-07
29,2364,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,stationery & office machinery,,99712,11.58,17917,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,,,,,0.9997621
30,1816,lexmark e450h11a toner 11000 page-yield black printers e450h11a,,lexmark,,248.27,1832,oki 52117101 - 52117101 toner 33000 page-yield black,cables interconnects,oki,,,7.2259686e-06
31,2258,san francisco 49ers camera case 19.99,electronics - general,tribeca,fva2773,,8795,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,0.0002125079
32,340,birdhouse tony hawk 2gb full skull skatedrive usb flash drive usb drives 9.84,,ep memory,bh-skthfs/2g,,363,birdhouse tony hawk 16gb ptero skatedrive usb flash drive action,usb flash drives,,,,0.8300539
33,2126,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,usb drives,,,,17202,pny 4 gb sdhc class 2 flash memory card p-sdhc4g2-ef purple purple blank media pny 12.71,,,p-sdhc4g2-ef / purple,,9.934924e-06
34,421,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,17564,pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box printers pendaflex,,,,,0.0005309692
35,222,uniden 1360bk desktop corded phone with caller id black electronics - general 1360bk,,uniden,,23.98,6546,uniden slimline corded phone with cid cw - un-1260bk uniden,corded telephones,,,16.87,0.99796283
36,1296,da-lite da-glas unframed rear projection screen - 57 3 4 x 77 video format da-lite 27604 1609.99,electronics - general,,,,17892,da-plex base rear projection screen - 57 3 4 x 77 video format projection screens da-lite,,,,2608.99,1.6899376e-06
37,1631,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,,,,39.84,7137,epson t048220 cyan ink cartridge epson,inkjet printer ink,,t048220,9.99,0.032384567
38,1365,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,,29.99,8795,san francisco 49ers ipod touch 4g hard case tribeca,computers accessories,,,29.99,0.0009055272
39,934,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,,,,32.88,13150,evga geforce 8400 gs passive 512mb ddr3 pci-express 2.0 graphics card - 3 year limited warranty 512-p3-1301-kr,graphics cards,evga,512-p3-1301-kr,34.99,0.0015149674
40,934,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,,,,32.88,19677,nvidia geforce 310 dms59 pcie16 512mb 2port vga dvi graphics card 57y4167,,lenovo,,102.24,0.10880524
41,538,srs labs analog rca volume leveler srs labs dct6s 59.99,tv accessories,,,,17174,new-analog rca volume leveler - dct6s srs,accessories,,,65.0,1.1368822e-05
42,2472,da-lite da-glas self trimming rear projection screen - 96 x 120 av format 27915,electronics - general,da-lite,,7443.99,16333,da-glas base rear projection screen - 70 x 70 av format da-lite,projection screens,,,2622.99,0.25820953
43,672,iosafe rugged 250gb usb 3.0 portable external hard drive iosafe 249.99,hard drives,,pa50250u5yr,,14737,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,external hard drives,,,64.24,0.00016840688
44,2290,orbital tilt and turn tv wall mount with glass shelving for 25-40 tvs tv accessories orbital resl422b-e 0.0,,,,,8322,avf resl422b-f orbital tilt and turn tv mount with av shelving for 25 to 40-inch flat panel tv screens black resl422b-f 125.99,tv mounts,avf,,,0.99919266
45,2149,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,,m552pink,94.54,2867,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black digital cameras kodak 104.95,,,,,5.6361007e-08
46,41,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module kingston ktd-dm8400a / 1g 22.92,memory,,,,8856,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,memory,kingston,ktd-ws667 / 8g,230.74,0.0019656133
47,1559,paper mate mechanical pencil starter set stationery & office machinery 1739312 4.87,,paper mate,,,18207,paper mate 1739311 - megalead mechanical pencil starter set 0.5 mm 2 erasure refills red barrel 23.96,printer accessories,paper mate,,,4.8182665e-07
48,1845,pioneer 6.5 3-way speakers 300w car stereos pioneer,,,ts-a1674r,90.88,2204,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers ts-a1683r,coaxial speakers,pioneer,,46.99,0.0017988665
