,ltable_id,ltable_name,ltable_description,ltable_price,rtable_id,rtable_name,rtable_description,rtable_price,match,label,cf_summary
13,191,panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b,panasonic kx-tga450b black 5.8 ghz cordless handset kxtga450b frequency hopping digital spread spectrum technology answering system with compatible base unit call waiting caller id join in/privacy 2-way intercom voice scramble black finish,,301,panasonic kx-tg1034s dect 6.0 cordless phone kx-tg1034s,panasonic dect 6.0 series 4 handset cordless phone system with answering system,89.45,0.70137227,0,"{'rtable_price': 0.52, 'rtable_name': 0.52}"
14,169,olympus premium slim leather case in black 202087,olympus 202087-410 premium slim leather case in black 202087 slim classic leather saddle bag design magnetic closure clasp leather wrist strap interior pocket compatible with fe200 and fe230 black finish,,235,olympus neoprene soft camera case 202066,top loading neoprene black,11.89,0.6763293,0,"{'ltable_price': 0.55, 'ltable_name': 0.55}"
15,280,panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s,panasonic expandable digital cordless dect 6.0 handset in silver kxtga101s expansion handset and charger select 1000 series phone systems big buttons built-in clock with alarm silver finish,39.0,300,panasonic kx-tg1033s digital cordless phone with three handsets,1 x phone line ( s ) headset jack silver,,0.7179479,0,"{'rtable_price': 0.55, 'rtable_name': 0.55}"
16,572,samsung 46 ' series 5 lcd black flat panel hdtv ln46a550,"samsung 46 ' series 5 lcd black flat panel hdtv ln46a550 full 1080p high definition resolution 16:9 widescreen aspect ratio 30,000:1 dynamic contrast ratio 5ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture sound leveler 3 hdmi slots swivel stand black finish",,695,samsung 4 series ln22a450 22 ' lcd tv,samsung ln22a450 22 ' widescreen 720p lcd hdtv 3000:1 dynamic contrast ratio 8ms response time piano black,397.77,0.70551044,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
17,692,lg 5.6 cu . ft. black freestanding electric range lre30453bk,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,,785,lg 5.6 cu.ft . freestanding electric range,,,0.6572559,0,"{'ltable_price': 0.51, 'ltable_name': 0.51}"
18,853,samsung 55 ' series 9 lcd black flat panel hdtv ln55a950,"samsung 55 ' series 9 lcd black flat panel hdtv ln55a950 touch of color design full 1080p high definition resolution 2,000,000:1 dynamic contrast ratio auto motion plus 120hz built-in digital tuner ( ntsc/atsc/clear qam ) 4ms response time srs trusurround xt down firing speakers picture-in-picture ( pip ) integrated woofer wide color gamut led backlight black finish",,686,samsung 4 series ln22a451 22 ' lcd tv,"samsung ln22a451 22 ' widescreen lcd hdtv 3,000:1 dynamic contrast ratio 8ms response time white",399.0,0.6954804,0,"{'rtable_price': 0.54, 'rtable_name': 0.54}"
19,448,sony 9 ' digital photo frame in black dpfv900,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",,909,sony picture station digital photo printer dppfp95,,,0.6709954,0,"{'rtable_price': 0.54, 'rtable_name': 0.54}"
20,946,canon powershot black 10 megapixel digital camera sx10is,canon powershot black 10 megapixel digital camera sx10is 20x optical zoom optical image stabilizer 10.0 megapixel 2.5 ' vari-angle lcd digic 4 image processor face detection self-timer intelligent contrast correction moviesnap mode print/share button black finish,,874,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",461.96,0.681538,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
21,388,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh 7.3 cu . ft. capacity intelligent electronic controls with dual led display and dial-a-cycle dual humidity sensors precise temperature control with a variable heater 4 way venting drum light white finish,,917,7.0 cu . ft. super capacity electric dryer med5900tw,,479.0,0.526821,0,"{'ltable_price': 0.51, 'ltable_name': 0.51}"
22,348,canon pixma multifunction printer mx310,"canon pixma multifunction printer mx310 up to 4800 x 1200 color dpi resolution microscopic 2-picoliter sized ink droplets built-in auto-image fix quick start smart copying copies , scans , faxes and prints documents prints photos",,409,canon pixma mx700 multifunction photo printer 2186b002,canon pixma mx700 office all-in-one printer,,0.7166583,0,"{'ltable_price': 0.52, 'ltable_name': 0.52}"
23,486,canon silver 8.0 megapixel powershot digital camera sd1100is,canon silver 8.0 megapixel powershot digital camera sd1100is 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology swing silver finish,,544,canon powershot sd1100 is digital elph camera rhythm & blue 2512b001,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera rhythm & blue",,0.69263905,0,"{'ltable_price': 0.54, 'ltable_name': 0.54}"
24,997,canon pink 8.0 megapixel powershot digital camera sd1100isp,canon pink 8.0 megapixel powershot digital camera sd1100isp 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology melody pink finish,178.0,991,canon powershot sx10 is digital camera 2665b001,"canon powershot sx10 is 10 megapixel digital camera w / 20x optical zoom , 28mm wide lens , 2.5 ' lcd , motion detection , & red eye correction",339.88,0.7087726,0,"{'ltable_price': 0.51, 'ltable_name': 0.51}"
25,1015,canon 2gb sd secure digital card 3505b001,canon 2gb sd secure digital card 3505b001 compatible with all digital cameras and devices that accept sd cards,,541,canon powershot a590 is digital camera 2462b001,"canon powershot a590 is 8 megapixels , 4x optical zoom , 2.5 ' lcd , iso 1600 digital camera",,0.6864007,0,"{'rtable_price': 0.54, 'rtable_name': 0.54}"
26,483,sony red cyber-shot digital camera dscw170r,sony dscw170 red cyber-shot digital camera dscw170r 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide red finish,,414,sony lcs-twa/r cyber-shot camera case,top loading leather red,27.92,0.6095296,0,"{'ltable_price': 0.53, 'ltable_name': 0.53}"
27,251,sony lcs-twa/b black soft leather carrying case lcstwab,sony lcs-twa/b black soft leather carrying case lcstwab genuine leather construction compatible with cyber-shot w and t series digital cameras integrated belt loop and magnetic closure black finish,,247,sony lcs-csh soft camera case lcscsh,top loading polypropylene black,,0.70383865,0,"{'ltable_price': 0.51, 'ltable_name': 0.51}"
28,850,speck seethru orange hard shell case for 15 ' macbook mb15orgseev2,speck seethru orange hard shell case for 15 ' macbook mb15orgseev2 translucent hard plastic shell gives great protection full access to all controls rubber feet for added support orange finish,,827,speck products seethru case for apple 15 ' macbook pro mb15-pur-see-v2,plastic purple,31.97,0.5348586,0,"{'ltable_price': 0.56, 'ltable_name': 0.56}"
29,521,nikon coolpix s550 10 megapixel compact plum digital camera coolpixs550p,nikon coolpix s550 10 megapixel compact plum digital camera coolpixs550p 10.0 megapixels 5x optical zoom nikkor glass lens electronic vr image stabilization bright 2.5 ' high resolution lcd in-camera red-eye fix face-priority af d-lighting plum finish,,537,nikon coolpix s210 digital camera plum 26103,"nikon coolpix s210 8 megapixel digital camera with 3x optical zoom-nikkor , iso2000 , 2.5 ' lcd & vr image stabilization plum",118.72,0.6873788,0,"{'rtable_price': 0.56, 'rtable_name': 0.56}"
30,863,lacie little disk 320gb black portable hard drive 301829,"lacie little disk 320gb black portable hard drive 301829 compact , thin and lightweight design back up , synchronize and secure files and settings extractable integrated usb cable and protective cap hi-speed usb 2.0 pc and mac compatible black finish",119.0,388,lacie big disk extreme + hard drive 301199u,lacie big disk extreme 1tb hard drive triple interface ( usb 2.0 & firewire 400/800 ) external hard drive,,0.5842725,0,"{'ltable_price': 0.51, 'ltable_name': 0.51}"
31,252,sony slv-d380p black dvd vhs combo player slvd380p,"sony slv-d380p black dvd vhs combo player slvd380p line input recording component output progressive output multi-brand tv remote control cd , mp3 , and jpeg playback 4-head hi-fi stereo auto head cleaner black finish no tuner",,723,sony dvp-ns700h / b dvd player,"dvd-rw , dvd + rw , dvd-r , dvd + r , cd-rw dvd video , cd-da , mp3 , jpeg , svcd , video cd playback 1 disc ( s ) progressive scan black",,0.7371992,0,"{'ltable_price': 0.53, 'ltable_name': 0.53}"
32,49,delonghi twenty four seven coffee maker in black dc50b,"delonghi twenty four seven coffee maker dc50b 4-cup capacity easy-access , washable filter basket black finish",22.0,225,delonghi 4-cup drip coffee makers,,,0.6894013,0,"{'ltable_price': 0.52, 'ltable_name': 0.52}"
33,572,samsung 46 ' series 5 lcd black flat panel hdtv ln46a550,"samsung 46 ' series 5 lcd black flat panel hdtv ln46a550 full 1080p high definition resolution 16:9 widescreen aspect ratio 30,000:1 dynamic contrast ratio 5ms response time srs trusurround xt audio built-in digital tuner ( atsc/clear qam ) picture-in-picture sound leveler 3 hdmi slots swivel stand black finish",,646,samsung ln46a650 46 ' lcd tv,"samsung ln46a650 46 ' 1080p lcd hdtv 50,000:1 dynamic contrast ratio 120hz 4ms response time",1599.98,0.70431316,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
34,1031,transcend 133x high-speed 8gb compact flash card ts8gcf133,transcend 133x high-speed 8gb compact flash card ts8gcf133 21.5 mb per sec . data transfer rate dual-channel support multi-platform compatibility supports ultra dma mode 0-4 low power consumption,38.0,333,transcend 8gb secure digital high capacity ( sdhc ) card class 6 ts8gsdhc6,transcend 8gb sdhc secure digital high capacity card,11.45,0.63272035,0,"{'rtable_price': 0.58, 'rtable_name': 0.58}"
35,456,canon silver dual flash memory camcorder fs11,canon silver dual flash memory camcorder fs11 16gb internal flash drive sdhc card slot built-in electronic lens cover wireless remote control 2.7 ' widescreen lcd 1.07 megapixel ccd image sensor 48x advanced zoom moonstone silver finish,,980,canon dc310 digital camcorder 2694b001,"canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii",289.95,0.7850618,0,"{'rtable_price': 0.5, 'rtable_name': 0.5, 'ltable_price': 0.5, 'ltable_name': 0.5}"
36,1038,sony bd/dvd home theater system bdvis1000,"sony bd/dvd home theater system bdvis1000 s-air wireless capability xmb ( xross media bar ) graphical user interface precision cinema hd with hdmi upscaler 24p true cinema deep color x.v.color 480i/480p/576i / 576p/720p/1080i / 1080p ( 60hz ) resolution with hdmi dolby digital , dolby digital plus , dolby truehd , dts , dts-hd high resolution , dts-hd master audio , lpcm 2ch , lpcm 6ch , lpcm 8ch decoder with hdmi black finish",999.0,863,sony bravia dav-hdx576wf home theater system,"dvd player , amplifier , 5.1 speakers 5 disc ( s ) progressive scan 1000w rms dolby pro logic ii",478.72,0.71284354,0,"{'ltable_price': 0.58, 'ltable_name': 0.58}"
37,807,canon deluxe black digital camera case 2595b002,canon deluxe black digital camera case 2595b002 soft nylon case flip-down cover belt loop attachment for hands-free convenience compatible with canon powershot a series black finish,13.99,1049,canon psc-4000 deluxe leather case n 3528b001,,35.99,0.602383,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
38,889,canon vixia 60gb high definition hard disc drive black camcorder hg20,canon vixia 60gb high definition hard disc drive black camcorder hg20 1920 x 1080 full hd recording record hd video directly to sdhc memory cards genuine canon 12x hd video lens 3.3 megapixel hd cmos image sensor digic dv ii image processor superrange optical image stabilization instant af 24mbps recording 24p cinema mode 30p progressive mode 2.7 ' multi-angle vivid widescreen lcd 3.1 megapixel photos microphone terminal with manual audio level control black finish,,579,sony handycam hdr-sr10 high definition digital camcorder hdrsr10,16:9 2.7 ' hybrid lcd,549.0,0.70780146,0,"{'rtable_price': 0.55, 'rtable_name': 0.55}"
39,611,samsung 22 ' black flat panel lcd hdtv ln22a450,samsung 22 ' black flat panel series 4 lcd hdtv ln22a450 1680 x 1050 resolution 3000:1 contrast ratio srs trusurround xt cold cathode fluorescent lamp ( ccfl ) 8ms response time hidden bottom speakers pc compatible black finish,,675,samsung 4 series ln32a450 32 ' lcd tv,samsung ln32a450 32 ' widescreen 720p lcd hdtv 10000:1 dynamic contrast ratio 6ms response time piano black,578.0,0.71393335,0,"{'ltable_price': 0.54, 'ltable_name': 0.54}"
40,741,sony 42 ' bravia v series black lcd flat panel hdtv kdl42v4100,sony 42 ' bravia v series black lcd flat panel hdtv kdl42v4100 1920 x 1080 full hd 1080p resolution digital media extender ( dmex ) bravia engine technology advanced contrast enhancer ( ace ) enhanced ( xmb ) user interface with rich 3d graphics 24p true cinema black finish,,834,sony bravia m series kdl-26m4000 26 ' lcd tv kdl26m4000,"26 ' atsc , ntsc 16:9 1366 x 768 hdtv",538.72,0.70809704,0,{'ltable_name': 0.55}
41,439,sony 40gb high definition hard disk drive handycam camcorder hdrsr10,sony 40gb high definition hard disk drive handycam camcorder hdrsr10 1920 x 1080 recording face detection 2.3 megapixel clearvid cmos sensor bionz image processor exmor imaging sensor 15x optical/180x digital zoom 2.7 ' wide ( 16:9 ) hybrid touch panel clear photo lcd plus display dolby digital 5.1 ch recording dynamic range optimizer super nightshot infrared system x.v. color technology,,581,sony handycam hdr-hc9 high definition digital camcorder hdrhc9,16:9 2.7 ' color lcd,824.95,0.7111109,0,"{'ltable_price': 0.57, 'ltable_name': 0.57}"
42,680,sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000,"sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000 1366 x 768 resolution up to 1080/60p input capable via hdmi atsc/ntsc tuner with qam 2,000:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d digital comb filter vesa hole spacing compatible black finish",,1076,sony bravia xbr series kdl-46xbr6 46 ' lcd tv kdl46xbr6,"46 ' active matrix tft atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 480i , 480p , 720p , 1080i , 1080p",1977.72,0.70814145,0,"{'rtable_name': 0.5, 'ltable_name': 0.5}"
43,106,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,4,netgear prosafe jfs516 ethernet switch,netgear prosafe 16 port 10/100 rackmount switch - jfs516na,,0.5999597,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
44,312,lacie 1tb firewire 800/firewire 400/usb 2.0 external hard drive 301199u,lacie 1tb firewire 800/firewire 400/usb 2.0 external hard drive 301199u triple interface for universal connectivity on pc/mac built-in raid 0 for extreme firewire 800 speed 7200 rotational speed ( rpm ) thermo-regulated progressive quiet fan,,487,lacie usb 2.0 external hard drive 301302u,lacie 500gb usb 2.0 7200rpm desktop external hard drive design by neil poulton,86.95,0.5890267,0,"{'rtable_price': 0.5, 'rtable_name': 0.5, 'ltable_price': 0.5, 'ltable_name': 0.5}"
45,647,sony white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht,sony icfc1ipmk2 white speaker dock and clock radio for ipod and iphone icfc1ipmk2wht unique adjustable backstop for ipods 3 wake-sleep sound alert options digital am-fm tuner alarm clock automatic time set automatic daylight savings time battery charger audio input white finish,,855,sdi technologies ip99br8 clock radio for ipod/iphone,,,0.6460808,0,"{'rtable_price': 0.54, 'rtable_name': 0.54}"
46,930,sony vaio cs series red notebook computer vgncs110er,sony vaio cs series red notebook computer vgncs110er 2.0 ghz intel core 2 duo processor t5800 14.1 ' ( 1280 x 800 ) xbrite-eco widescreen display 250gb serial ata 5400rpm hard drive built-in 1.3 megapixel motion eye camera and microphone 3gb pc2-6400 ( 2gbx1 + 1gbx1 ) installed memory integrated stereo a2dp bluetooth 800mhz front side bus speed 2mb l2 cache genuine microsoft windows vista home premium 32-bit with sp1 red finish,,125,sony vaio sz series docking station vgpprsz1,"usb , network , vga , dvi-d , dc-in",,0.74858266,0,"{'ltable_price': 0.5346534653465347, 'ltable_name': 0.5346534653465347}"
47,482,sony silver cyber-shot digital camera dscw170,sony silver cyber-shot digital camera dscw170 10.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens bionz real imaging processor technology 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,,606,panasonic lumix dmc-tz5 digital camera silver,"panasonic lumix dmc-tz5s 9 megapixel digital camera with 28mm wide-angle lens , 10x optical zoom , 3 ' lcd and hd output silver",,0.703693,0,"{'ltable_price': 0.6, 'ltable_name': 0.6}"
48,57,universal ir/rf aeros remote control - mx850 mx850,universal ir/rf aeros remote control - mx850 laser etched buttons centrally located joystick memory back-up one hand ergonomics controls up to 20 components,399.95,107,universal mx-350 osiris remote control mx350,"tv , vcr , dvd player , cd player , cable box , satellite receiver , dvr , audio receivers 100 ft universal remote",93.9,0.7520686,0,"{'ltable_price': 0.5148514851485149, 'ltable_name': 0.5148514851485149}"
49,1014,canon digital eos rebel xs starter kit 9320a010,"canon digital eos rebel xs starter kit 9320a010 includes digital gadget bag 200dg , battery pack nb-2lh , 58mm uv haze filter",,250,canon mini dv camcorder starter kit 9582a008,camcorder starter kit,69.95,0.8096571,0,"{'rtable_price': 0.5445544554455446, 'rtable_name': 0.5445544554455446}"
50,720,lg 2.0 cu . ft. over-the-range black microwave oven lmvm2085bk,lg 2.0 cu . ft. over-the-range black microwave oven lmvm2085bk warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting black finish,,798,1.6 cu.ft . over the range microwave,,,0.6210945,0,"{'rtable_price': 0.52, 'rtable_name': 0.52}"
51,594,panasonic 5.8 ghz black expandable digital cordless phone system kxtg4324b,panasonic 5.8 ghz black expandable digital cordless phone system kxtg4324b 4 handsets system digital answering machine ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode speakerphone intercom 11 days standby 5 hours talk time black finish,,1012,panasonic lumix dmc-fz28 digital camera black,"panasonic dmc-fz28k lumix 10 megapixel digital camera with 27mm leica dc vario-elmarit lens , 18x optical zoom and intelligent auto mode black",,0.68818974,0,"{'ltable_price': 0.55, 'ltable_name': 0.55}"
52,683,sony 52 ' bravia v-series black lcd flat panel hdtv kdl52v4100,"sony 52 ' bravia v-series 1080p lcd flat panel hdtv kdl52v4100 1920 x 1080 full hd resolution digital media extender ( dmex ) advanced contrast enhancer ( ace ) 24p true cinema 25,000:1 dynamic contrast ratio mpeg noise reduction 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,882,sony bravia kdl32xbr6 32 ' lcd tv,"32 ' atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv",998.72,0.6967009,0,{'rtable_name': 0.62}
53,949,canon powershot silver 14.7 megapixel digital camera sd990is,canon powershot silver 14.7 megapixel digital camera sd990is 14.7 megapixel 3.7 x optical zoom optical image stabilizer optical viewfinder large high-quality 2.5 ' purecolor lcd digic 4 image processor face detection self-timer intelligent contrast correction quick mode print/share button silver finish,,511,canon fs100 digital camera 2699b001,canon fs100 flash memory camcorder,299.95,0.7086109,0,"{'ltable_price': 0.54, 'ltable_name': 0.54}"
54,1060,canon eos rebel xsi silver digital slr camera xsireb1855s,canon eos rebel xsi silver digital slr camera xsireb1855s 12.2 megapixel digic iii image processor extensive noise reduction technology auto optimization 3.0 ' lcd monitor compatible with compact sd and sdhc memory cards eos integrated cleaning system 18-55mm lens included 2756b003 silver finish,799.0,587,sony alpha dslr-a350 digital slr camera dslra350,14.2 megapixel 16:9 2.7 ' active matrix tft color lcd,594.73,0.7479446,0,"{'ltable_price': 0.54, 'ltable_name': 0.54}"
55,1022,linksys dual-band wireless-n usb network adapter wusb600n,"linksys dual-band wireless-n usb network adapter wusb600n high-speed wireless-n ( draft 802.11 n ) networking mimo technology operates in the 2.4 and 5ghz radio bands connects to wireless-g , b and a networks",69.0,342,d-link dwa-130 wireless n usb adapter,,,0.7115281,0,"{'rtable_price': 0.52, 'rtable_name': 0.52}"
56,452,canon dvd camcorder dc320,canon dvd camcorder dc320 image stabilization widescreen hr recording 2.7 ' lcd screen smooth zoom control built-in lens cover 9 digital effects/9 fades 21 selectable display languages 37x optical/2000x digital zoom silver finish,,509,canon fs10 digital camcorder 2686b001,canon fs10 dual flash memory camcorder,341.72,0.76010966,0,"{'rtable_price': 0.53, 'rtable_name': 0.53}"
57,491,canon black eos rebel xsi digital slr camera xsireb1855,canon black eos rebel xsi digital slr camera xsireb1855 12.2 megapixel digic iii image processor extensive noise reduction technology auto optimization 3.0 ' lcd monitor compatible with compact sd and sdhc memory cards eos integrated cleaning system 18-55mm lens included 2756b003 black finish,,936,nikon coolpix s610 digital camera midnight black 26125,10 megapixel 16:9 4x optical zoom 4x digital zoom 3 ' active matrix tft color lcd,,0.7235609,0,"{'rtable_price': 0.51, 'rtable_name': 0.51}"
58,509,toshiba black 9-inch lcd widescreen portable dvd player sdp91s,toshiba black portable dvd player sdp91s 9 ' widescreen tft lcd display up to 5 hour lithium battery life official divx certified switchable audio/video input and output swivel and flip type screen black finish,,592,toshiba 19lv505 19 ' widescreen lcd hdtv w / built-in dvd player 800:1 contrast ratio 5ms response time,,,0.72182554,0,"{'ltable_price': 0.53, 'ltable_name': 0.53}"
59,131,panasonic network camera white finish blc1a,panasonic network camera blc1a automatic network configuration built-in calendar timer auto time adjustment with ntp up to 10x digital zoom multi-language interface white finish,99.0,584,panasonic lumix dmc-tz5 digital camera black,"panasonic lumix dmc-tz5k 9 megapixel digital camera with 28mm wide-angle lens , 10x optical zoom , 3 ' lcd and hd output black",,0.6889593,0,"{'ltable_price': 0.55, 'ltable_name': 0.55}"
