,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
13,"{'ltable_description': 0.014727858982461954, 'rtable_description': 0.023033181584100667, 'rtable_name': -0.009176542483390547, 'type': 'mojito'}",0.0,1.4708892380003817,1.0,[0.29862773 0.70137227],191-301,"[0.6985624, 0.6985624]","[0.70294887, 0.7254613]",mojito-d
14,"{'ltable_description': 0.018951366982761578, 'ltable_id': 0.029283485918749217, 'ltable_name': 0.01026804736982564, 'rtable_price': 0.01882461281617513, 'type': 'mojito'}",0.0,1.28195442102151,1.0,[0.3236707 0.6763293],169-235,"[0.67994386, 0.6887272]","[0.6273855, 0.6422255]",mojito-d
15,"{'ltable_description': 0.012496644914634524, 'ltable_name': -0.02399974777519938, 'rtable_description': -0.003906691212317073, 'rtable_name': 0.01970875079256025, 'type': 'mojito'}",0.0,1.4068895220407285,1.0,[0.28205207 0.7179479 ],280-300,"[0.7240411, 0.7147797]","[0.5184384, 0.50755554]",mojito-d
16,"{'ltable_description': 0.0159426276811437, 'ltable_id': -0.033545251165516383, 'ltable_name': 0.014005621762818558, 'rtable_description': 0.0201795096531293, 'type': 'mojito'}",0.0,1.5692969179945067,1.0,[0.2944896  0.70551044],572-695,"[0.701549, 0.701549]","[0.72330195, 0.77963245]",mojito-d
17,"{'ltable_description': 0.004996731179979108, 'ltable_name': 0.0002655436653847213, 'rtable_name': -0.013795183012720013, 'type': 'mojito'}",0.0,1.1293815820245072,1.0,[0.34274417 0.6572559 ],692-785,"[0.6883574, 0.66471344]","[0.6880149, 0.62784576]",mojito-d
18,"{'ltable_description': 0.015166748612078416, 'rtable_name': 0.010657541296487898, 'type': 'mojito'}",0.0,1.7745354700018652,1.0,[0.3045196 0.6954804],853-686,"[0.72607404, 0.7247024]","[0.76356894, 0.7705681]",mojito-d
19,"{'ltable_description': 0.007712766146814774, 'ltable_name': 0.03433525253131892, 'rtable_id': -0.03201090173923357, 'rtable_name': -0.006238967501692127, 'type': 'mojito'}",0.0,1.4126950930221938,1.0,[0.3290046 0.6709954],448-909,"[0.66926813, 0.68104213]","[0.6664353, 0.5256817]",mojito-d
20,"{'ltable_description': 0.016531368693567944, 'ltable_name': 0.00855112396893024, 'rtable_description': 0.019312398350142868, 'rtable_name': 0.007496636457262035, 'type': 'mojito'}",0.0,1.589275953010656,1.0,[0.31846198 0.681538  ],946-874,"[0.67457885, 0.67457885]","[0.6842112, 0.7368396]",mojito-d
21,"{'ltable_description': -0.004647125761556888, 'ltable_name': 0.011279455252619662, 'rtable_name': -0.03834073702627801, 'type': 'mojito'}",0.0,1.4454441519919783,1.0,[0.47317895 0.526821  ],388-917,"[0.6282189, 0.6282189]","[0.6302235, 0.6302235]",mojito-d
22,"{'ltable_description': 0.011586653058002962, 'ltable_name': 0.008838459835528676, 'rtable_description': 0.011394443303497915, 'rtable_name': 0.01393195946383441, 'type': 'mojito'}",0.0,1.3771659570047632,1.0,[0.2833417 0.7166583],348-409,"[0.7520763, 0.7821024]","[0.7448926, 0.75978595]",mojito-d
23,"{'ltable_description': 0.01827206252011298, 'rtable_description': 0.011011441120661108, 'rtable_id': 0.003100319322160463, 'rtable_name': 0.014498792524645573, 'type': 'mojito'}",0.0,1.4710454189917073,1.0,[0.30736092 0.69263905],486-544,"[0.6881169, 0.69837964]","[0.7383898, 0.6943156]",mojito-d
24,"{'ltable_description': 0.029225313367194326, 'ltable_id': 0.019468843201113778, 'ltable_name': 0.025743101341814664, 'rtable_description': 0.0368640233640322, 'rtable_name': 0.021143908713997177, 'rtable_price': 0.0300080877514667, 'type': 'mojito'}",0.0,1.4748025350272655,1.0,[0.29122737 0.7087726 ],997-991,"[0.7003417, 0.69709533]","[0.7338753, 0.75835353]",mojito-d
25,"{'ltable_description': 0.015422344583020943, 'ltable_name': 0.02179319592624426, 'rtable_description': 0.010962207714256303, 'rtable_name': 0.015986295777817666, 'type': 'mojito'}",0.0,1.209697081008926,1.0,[0.31359932 0.6864007 ],1015-541,"[0.6711542, 0.6711542]","[0.66142213, 0.6650073]",mojito-d
26,"{'ltable_description': 0.011378536431808285, 'ltable_id': 0.011852348528171304, 'ltable_name': 0.01203799437895992, 'rtable_description': 0.012205454858279171, 'type': 'mojito'}",0.0,1.8238049219944514,1.0,[0.3904704 0.6095296],483-414,"[0.60121435, 0.7021683]","[0.6163518, 0.7060828]",mojito-d
27,"{'ltable_description': 0.006770259303646472, 'ltable_name': 0.008159954180846994, 'rtable_description': 0.00945023398375322, 'rtable_id': 0.011867044940648074, 'rtable_name': 0.004214555933450623, 'type': 'mojito'}",0.0,1.1674420569906943,1.0,[0.29616135 0.70383865],251-247,"[0.7012852, 0.7091378]","[0.62579274, 0.7020229]",mojito-d
28,"{'ltable_description': 0.02973961313412483, 'ltable_name': 0.007118189993384408, 'rtable_description': 0.017969062116478064, 'rtable_name': 0.013874132028796088, 'type': 'mojito'}",0.0,1.3626282210461795,1.0,[0.46514142 0.5348586 ],850-827,"[0.55015063, 0.55015063]","[0.5511575, 0.55152196]",mojito-d
29,"{'ltable_description': 0.022550729919719122, 'rtable_description': 0.023502052600402792, 'rtable_name': 0.01652868922348655, 'rtable_price': 0.007328858791447442, 'type': 'mojito'}",0.0,1.5776728880009614,1.0,[0.3126212 0.6873788],521-537,"[0.6857981, 0.6857981]","[0.69778746, 0.72819227]",mojito-d
30,"{'ltable_description': 0.01831028712018101, 'ltable_name': 0.021242769378297124, 'rtable_description': 0.019246471849248242, 'rtable_name': 0.03741052299064392, 'type': 'mojito'}",0.0,1.8037851570406929,1.0,[0.41572753 0.5842725 ],863-388,"[0.5898461, 0.5898461]","[0.6267403, 0.69722915]",mojito-d
31,"{'ltable_description': 0.008591071684854517, 'ltable_name': 0.0027096163729819706, 'rtable_description': 0.012371587704195752, 'rtable_name': 0.004420709234679912, 'type': 'mojito'}",0.0,1.5628703020047396,1.0,[0.2628008 0.7371992],252-723,"[0.7205919, 0.7205919]","[0.68095964, 0.7106381]",mojito-d
32,"{'ltable_description': 0.015663497853224826, 'ltable_id': 0.017983131065178303, 'ltable_name': 0.012297691333157586, 'rtable_id': 0.01107314856201446, 'rtable_name': -0.022131377873600994, 'type': 'mojito'}",0.0,0.9042985689593479,1.0,[0.3105987 0.6894013],49-225,"[0.68402404, 0.6908092]","[0.6617561, 0.6748369]",mojito-d
33,"{'ltable_description': 0.01384624444673572, 'ltable_name': 0.011428892104076091, 'rtable_description': 0.03575356688818165, 'type': 'mojito'}",0.0,1.5353842299664393,1.0,[0.29568684 0.70431316],572-646,"[0.70357794, 0.70357794]","[0.72985345, 0.78584546]",mojito-d
34,"{'ltable_description': 0.00592500550185832, 'ltable_name': 0.01778322516818878, 'rtable_name': 0.01484602159934575, 'type': 'mojito'}",0.0,1.4026927730301395,1.0,[0.36727962 0.63272035],1031-333,"[0.63350755, 0.63350755]","[0.56648374, 0.5718341]",mojito-d
35,"{'ltable_description': 0.01838820614277447, 'ltable_name': 0.010403952704155636, 'rtable_description': 0.012381369144943182, 'rtable_id': 0.010589562984883288, 'type': 'mojito'}",0.0,1.495083759946283,1.0,[0.21493822 0.7850618 ],456-980,"[0.8113897, 0.8113897]","[0.8010417, 0.7925128]",mojito-d
36,"{'ltable_description': 0.005160244021148704, 'ltable_id': 0.013810184389782392, 'ltable_name': -0.02499829633494375, 'ltable_price': 0.019054443319077692, 'rtable_description': 0.016303383191972557, 'rtable_name': 0.013116756530967132, 'type': 'mojito'}",0.0,1.6530626810272224,1.0,[0.28715643 0.71284354],1038-863,"[0.7145161, 0.70857763]","[0.68506795, 0.6980459]",mojito-d
37,"{'ltable_description': -0.0036758313635417428, 'ltable_name': 0.008621583285362987, 'rtable_id': -0.04084976558721124, 'rtable_name': -0.008496884395804772, 'type': 'mojito'}",0.0,1.0757065920042805,1.0,[0.39761698 0.602383  ],807-1049,"[0.61048913, 0.61048913]","[0.56541747, 0.56541747]",mojito-d
38,"{'ltable_description': 0.018001409172951375, 'ltable_name': -0.0020865400524942286, 'rtable_description': 0.035282922729191556, 'rtable_name': 0.010241205793531341, 'type': 'mojito'}",0.0,1.7137465520063415,1.0,[0.2921985  0.70780146],889-579,"[0.69291866, 0.69291866]","[0.70570034, 0.75616014]",mojito-d
39,"{'ltable_description': 0.02007505554785999, 'rtable_description': 0.012594663255160342, 'rtable_name': 0.014464789355630973, 'type': 'mojito'}",0.0,1.4749694399652071,1.0,[0.28606668 0.71393335],611-675,"[0.7188965, 0.7181977]","[0.7493761, 0.75246084]",mojito-d
40,"{'ltable_description': 0.020176479901733702, 'ltable_name': 0.012821264333365645, 'rtable_description': 0.03352651114522966, 'rtable_name': 0.01737910502616102, 'type': 'mojito'}",0.0,1.5218673589988612,1.0,[0.29190302 0.70809704],741-834,"[0.69650185, 0.69650185]","[0.7236263, 0.7811856]",mojito-d
41,"{'ltable_description': 0.013935115366847778, 'rtable_description': 0.025390397410292493, 'rtable_name': 0.010531405940654251, 'type': 'mojito'}",0.0,1.7959429499460384,1.0,[0.2888891 0.7111109],439-581,"[0.69204026, 0.69204026]","[0.7093515, 0.773543]",mojito-d
42,"{'ltable_description': 0.016417768965653563, 'ltable_name': 0.02358225607486513, 'rtable_description': 0.020770358382921073, 'rtable_name': 0.014059226076970376, 'type': 'mojito'}",0.0,1.5639060090179555,1.0,[0.2918586  0.70814145],680-1076,"[0.7074235, 0.7060154]","[0.702889, 0.7138495]",mojito-d
43,"{'ltable_description': 0.020250417644079016, 'ltable_name': -0.030073444219287614, 'rtable_description': 0.0014176589893693647, 'rtable_name': -0.00786783880555119, 'type': 'mojito'}",0.0,1.2355286910315044,1.0,[0.40004033 0.5999597 ],106-4,"[0.6002558, 0.6002558]","[0.6005771, 0.6074446]",mojito-d
44,"{'ltable_description': 0.004968339151391913, 'ltable_id': 0.0036272529956033733, 'ltable_name': 0.007315389338138974, 'rtable_description': 0.011586479431585979, 'rtable_name': 0.004809538761360611, 'type': 'mojito'}",0.0,1.6984487019944936,1.0,[0.41097337 0.5890267 ],312-487,"[0.5915212, 0.56763244]","[0.59783095, 0.5234452]",mojito-d
45,"{'ltable_description': 0.004929053440766289, 'ltable_name': 0.005509490957234647, 'rtable_id': 0.0097108666119209, 'rtable_name': -0.05445376859302308, 'type': 'mojito'}",0.0,1.5665013500256464,1.0,[0.35391918 0.6460808 ],647-855,"[0.6614252, 0.61619467]","[0.6186471, 0.60924333]",mojito-d
46,"{'ltable_description': 0.022612875655210533, 'ltable_id': 0.01617897020506592, 'ltable_name': 0.023438395775118526, 'rtable_description': 0.08660248016845447, 'type': 'mojito'}",0.0,1.9756344170309603,1.0,[0.25141737 0.74858266],930-125,"[0.6706777, 0.67176735]","[0.7110178, 0.7067817]",mojito-d
47,"{'ltable_description': 0.016150853089968272, 'ltable_name': 0.00331616597026246, 'rtable_description': 0.017157359791536996, 'rtable_name': 0.010080917931651542, 'type': 'mojito'}",0.0,2.148789817991201,1.0,[0.296307 0.703693],482-606,"[0.6966508, 0.6966508]","[0.7717436, 0.796622]",mojito-d
48,"{'ltable_description': 0.025385673030670932, 'ltable_id': 0.01920799898528293, 'ltable_name': 0.014654618681359087, 'rtable_description': 0.016554044068814996, 'rtable_id': 0.005244096808198522, 'type': 'mojito'}",0.0,1.574166183010675,1.0,[0.24793144 0.7520686 ],57-107,"[0.75597197, 0.7246648]","[0.74539024, 0.71504945]",mojito-d
49,"{'ltable_description': 0.013107546464336395, 'ltable_name': 0.011778114569302438, 'rtable_description': 0.015356992131816804, 'rtable_name': 0.0109426798044636, 'type': 'mojito'}",0.0,1.1676006779889576,1.0,[0.1903429 0.8096571],1014-250,"[0.73356485, 0.73356485]","[0.7824501, 0.7945186]",mojito-d
50,"{'ltable_description': 0.002224378034958977, 'ltable_name': 0.005601933732749766, 'rtable_name': -0.031124863604374785, 'type': 'mojito'}",0.0,1.5176720489980653,1.0,[0.37890542 0.6210945 ],720-798,"[0.6480823, 0.67684215]","[0.6601962, 0.7010792]",mojito-d
51,"{'ltable_description': 0.0015892821087880307, 'rtable_description': 0.014294865524921924, 'rtable_id': 0.02871343204115768, 'rtable_name': 0.019257574476705824, 'type': 'mojito'}",0.0,1.9753210549824871,1.0,[0.31181023 0.68818974],594-1012,"[0.6874014, 0.6843946]","[0.61317813, 0.636048]",mojito-d
52,"{'ltable_description': 0.019483671171962556, 'rtable_description': 0.022121519376113178, 'rtable_name': 0.00617239658202224, 'rtable_price': 0.00962846407058159, 'type': 'mojito'}",0.0,1.8065299319569021,1.0,[0.3032991 0.6967009],683-882,"[0.6910055, 0.6910055]","[0.73149467, 0.77340776]",mojito-d
53,"{'ltable_description': 0.021511680560911753, 'ltable_name': 0.01607637141832673, 'rtable_description': 0.0010286235791298972, 'rtable_name': 0.017834964255002604, 'type': 'mojito'}",0.0,3.648130476998631,1.0,[0.29138908 0.7086109 ],949-511,"[0.7400646, 0.74788976]","[0.77425146, 0.76715356]",mojito-d
54,"{'ltable_description': 0.01768323098548752, 'ltable_name': 0.01968265807009645, 'rtable_description': 0.030839705815785302, 'type': 'mojito'}",0.0,1.8985409529996105,1.0,[0.25205535 0.7479446 ],1060-587,"[0.75011796, 0.7473937]","[0.75548404, 0.71851957]",mojito-d
55,"{'ltable_description': 0.019050780785673415, 'ltable_name': 0.010479420737444116, 'ltable_price': 0.012200729106722347, 'rtable_name': 0.03773944111925792, 'type': 'mojito'}",0.0,1.3215804430074058,1.0,[0.28847182 0.7115281 ],1022-342,"[0.74394375, 0.7616044]","[0.5228794, 0.52797157]",mojito-d
56,"{'ltable_description': 0.018700030182629123, 'ltable_name': 0.01292916163277749, 'rtable_description': 0.013287945712147043, 'rtable_name': 0.03711355333488444, 'type': 'mojito'}",0.0,1.3334342839661986,1.0,[0.23989037 0.76010966],452-509,"[0.77425855, 0.7916993]","[0.7312149, 0.78149164]",mojito-d
57,"{'ltable_description': 0.013896619599634858, 'ltable_name': 0.0011971921805913738, 'rtable_description': 0.029392979649802985, 'rtable_name': 0.01323778731751563, 'type': 'mojito'}",0.0,1.7656354630016722,1.0,[0.27643904 0.7235609 ],491-936,"[0.7226981, 0.7226981]","[0.74894476, 0.8091021]",mojito-d
58,"{'ltable_description': 0.02128944144613226, 'ltable_name': 0.01893727956736131, 'rtable_name': 0.02053829581877869, 'type': 'mojito'}",0.0,1.566019632969983,1.0,[0.2781745  0.72182554],509-592,"[0.73484546, 0.72948974]","[0.7343693, 0.52599233]",mojito-d
59,"{'ltable_description': 0.017094555568844396, 'ltable_name': 0.02351247611229654, 'rtable_description': 0.0418572481239493, 'rtable_id': 0.02985828646364043, 'rtable_name': 0.0230747647389724, 'type': 'mojito'}",0.0,1.3816509650205262,1.0,[0.31104067 0.6889593 ],131-584,"[0.7007535, 0.6997957]","[0.7883392, 0.7311742]",mojito-d
60,"{'ltable_description': 0.025031367978782824, 'rtable_description': 0.023204212168410912, 'rtable_name': 0.0231482735557153, 'rtable_price': 0.020447306342277694, 'type': 'mojito'}",0.0,1.778097437985707,1.0,[0.3477503 0.6522497],902-418,"[0.6896903, 0.6896903]","[0.71309024, 0.723003]",mojito-d
61,"{'ltable_description': 0.02564668484064533, 'ltable_name': 0.02561261079001459, 'rtable_description': 0.04942033933748838, 'rtable_id': 0.019633379009847424, 'rtable_name': -0.08034701194279174, 'type': 'mojito'}",0.0,1.7738350099534728,1.0,[0.36640188 0.6335981 ],903-541,"[0.60743177, 0.60743177]","[0.6903033, 0.7311509]",mojito-d
62,"{'ltable_description': 0.012125047566577793, 'ltable_id': 0.023791444537633415, 'rtable_id': -0.08414060698838426, 'rtable_name': 0.00865766283470427, 'type': 'mojito'}",0.0,1.9233243049820885,1.0,[0.3153429 0.6846571],930-1032,"[0.6692787, 0.679607]","[0.5852987, 0.6001162]",mojito-d
63,"{'ltable_description': 0.025040337382682434, 'ltable_id': -0.00309244500603854, 'ltable_name': 0.04012924688283404, 'rtable_description': 0.03349055116204248, 'rtable_name': 0.020725945477478098, 'type': 'mojito'}",0.0,2.0470086989807896,1.0,[0.3077473  0.69225276],479-586,"[0.6917696, 0.68655896]","[0.6897889, 0.6902904]",mojito-d
64,"{'ltable_description': 0.03520270228648475, 'ltable_name': -0.014262482716256606, 'rtable_description': 0.014037566991927064, 'rtable_id': 0.03594434629757537, 'type': 'mojito'}",0.0,1.764243034995161,1.0,[0.30399048 0.6960095 ],905-538,"[0.6958227, 0.70597416]","[0.6433705, 0.66109616]",mojito-d
65,"{'ltable_description': 0.01622721505226226, 'ltable_name': 0.02755625981928297, 'rtable_description': 0.03560963896334934, 'type': 'mojito'}",0.0,1.6246641830075532,1.0,[0.30046818 0.69953185],542-1074,"[0.6827343, 0.70446104]","[0.70196944, 0.70144284]",mojito-d
66,"{'ltable_description': 0.018080909047314336, 'ltable_name': 0.010797712976409808, 'rtable_description': 0.011886611217015536, 'rtable_name': 0.005002367469566911, 'type': 'mojito'}",0.0,1.6509852659655735,1.0,[0.3147318 0.6852682],946-542,"[0.70359606, 0.70359606]","[0.73264647, 0.7536533]",mojito-d
67,"{'ltable_description': 0.019591383794161765, 'rtable_description': 0.016820846869603612, 'rtable_id': 0.012905885045968537, 'type': 'mojito'}",0.0,2.0605823030346073,1.0,[0.3116308 0.6883692],901-980,"[0.7524689, 0.7524689]","[0.74216497, 0.731655]",mojito-d
68,"{'ltable_description': 0.017973372099312938, 'ltable_id': 0.00724394451818973, 'ltable_name': 0.00834463174453245, 'rtable_description': 0.014435453084015963, 'rtable_id': 0.012552197742080442, 'rtable_name': 0.003552272562213766, 'type': 'mojito'}",0.0,1.6100284499698319,1.0,[0.31027538 0.6897247 ],487-542,"[0.7079772, 0.7079772]","[0.7316207, 0.75213087]",mojito-d
69,"{'ltable_description': 0.01365224834739269, 'rtable_description': 0.04366079665912658, 'rtable_name': 0.012050957615439326, 'type': 'mojito'}",0.0,1.5341802049661055,1.0,[0.29086486 0.7091352 ],448-907,"[0.69857574, 0.69857574]","[0.71640706, 0.7675375]",mojito-d
70,"{'ltable_description': 0.014011046925975934, 'rtable_description': 0.015900055090501575, 'type': 'mojito'}",0.0,1.9781631289515644,1.0,[0.33654332 0.6634567 ],900-573,"[0.64103246, 0.64103246]","[0.65355176, 0.75325197]",mojito-d
71,"{'ltable_description': 0.012163158639709886, 'ltable_name': 0.012693229965724489, 'rtable_description': 0.009102683232840015, 'rtable_id': 0.011389647549729816, 'type': 'mojito'}",0.0,1.4805770660168491,1.0,[0.41282442 0.58717555],854-503,"[0.5762681, 0.6055187]","[0.5656514, 0.63557535]",mojito-d
72,"{'ltable_description': 0.0009953353014682065, 'ltable_name': 0.003162437390359959, 'rtable_name': -0.015132523860599828, 'type': 'mojito'}",0.0,1.208990108978469,1.0,[0.34961513 0.65038484],716-801,"[0.64774185, 0.65157425]","[0.6397985, 0.640217]",mojito-d
73,"{'ltable_description': 0.011584575414923666, 'ltable_name': 0.0182296796021703, 'ltable_price': 0.023594291005068102, 'rtable_description': 0.013521308674876557, 'rtable_name': 0.012708308489813552, 'type': 'mojito'}",0.0,1.498770701000467,1.0,[0.2650889  0.73491114],238-604,"[0.7394447, 0.70486605]","[0.71249825, 0.69610316]",mojito-d
74,"{'ltable_description': 0.015033189436931904, 'ltable_name': -0.03442039732928394, 'rtable_description': 0.016387947085071776, 'type': 'mojito'}",0.0,1.9201616549980827,1.0,[0.2976931 0.7023069],570-694,"[0.6965976, 0.6965976]","[0.7078723, 0.7750809]",mojito-d
75,"{'ltable_description': 0.018725849640021528, 'ltable_name': 0.01082171542145529, 'rtable_description': 0.03648089750268577, 'rtable_name': -0.020523104000866065, 'type': 'mojito'}",0.0,1.4336848219973035,1.0,[0.46632785 0.53367215],840-818,"[0.52127826, 0.52127826]","[0.5358574, 0.5454589]",mojito-d
76,"{'ltable_description': 0.022516973512662547, 'ltable_name': 0.00814129767543854, 'rtable_description': 0.02695857266543995, 'rtable_id': 0.00855339679073673, 'rtable_name': 0.01327091009192764, 'type': 'mojito'}",0.0,1.770569728978444,1.0,[0.29581234 0.7041876 ],460-512,"[0.67546177, 0.67546177]","[0.72570306, 0.7435789]",mojito-d
77,"{'ltable_description': 0.018788987086237573, 'ltable_name': -0.014364972608573646, 'rtable_name': -0.01198828274289528, 'type': 'mojito'}",0.0,1.8040472280117683,1.0,[0.27135184 0.7286482 ],246-499,"[0.7410831, 0.7410831]","[0.7407908, 0.7407908]",mojito-d
78,"{'ltable_description': 0.01874388339850348, 'ltable_id': 0.01797387155054691, 'ltable_name': 0.012136942497696611, 'rtable_description': 0.01639958426045581, 'rtable_name': 0.015789919408933144, 'type': 'mojito'}",0.0,1.8712227210053243,1.0,[0.2731156 0.7268844],491-654,"[0.7415447, 0.7429513]","[0.81447405, 0.7912102]",mojito-d
79,"{'ltable_description': 0.018880303181862634, 'ltable_id': 0.018302077397146926, 'ltable_name': 0.014821705845167338, 'rtable_description': 0.019631760286509894, 'rtable_name': 0.01435137348056861, 'type': 'mojito'}",0.0,1.5487254170002416,1.0,[0.2820362 0.7179638],476-1071,"[0.71271086, 0.71271086]","[0.7168007, 0.79297453]",mojito-d
80,"{'ltable_description': 0.0179459897934881, 'ltable_name': 0.02111688278040705, 'rtable_description': 0.02148321624106128, 'rtable_name': 0.01509998445565221, 'type': 'mojito'}",0.0,1.4440373749821447,1.0,[0.21041094 0.78958905],525-548,"[0.7902531, 0.7899364]","[0.78868335, 0.7865899]",mojito-d
81,"{'ltable_description': 0.024707095520587693, 'ltable_id': 0.013755308199159814, 'ltable_name': -0.041959802467684104, 'rtable_description': 0.04867886806693559, 'rtable_name': 0.015329134221580035, 'type': 'mojito'}",0.0,1.1631684800377116,1.0,[0.26641095 0.73358905],593-235,"[0.7332884, 0.7332884]","[0.7358816, 0.7674019]",mojito-d
82,"{'ltable_description': 0.015008632884630758, 'rtable_description': 0.014693184258439768, 'rtable_id': 0.006601538740524436, 'rtable_name': 0.016450439745158307, 'type': 'mojito'}",0.0,1.0442419030005112,1.0,[0.2734107 0.7265893],78-445,"[0.7411445, 0.7432707]","[0.7706957, 0.77401537]",mojito-d
83,"{'ltable_description': 0.007687405952841064, 'ltable_name': 0.005950250404716001, 'rtable_description': 0.007798790707941865, 'type': 'mojito'}",0.0,2.0119913399685174,1.0,[0.3006935 0.6993065],644-724,"[0.6795858, 0.6795858]","[0.7011603, 0.73534226]",mojito-d
84,"{'ltable_description': 0.0021646075001114603, 'ltable_name': -0.015935197261475593, 'rtable_description': 0.006624811831903205, 'rtable_id': 0.009256569805840067, 'rtable_name': -0.01182153398702796, 'type': 'mojito'}",0.0,1.386434655985795,1.0,[0.35431853 0.64568156],288-13,"[0.64387476, 0.6400835]","[0.6076268, 0.6157949]",mojito-d
85,"{'ltable_description': 0.021835225687121904, 'ltable_name': 0.006250814064796598, 'rtable_description': 0.01585164691968098, 'rtable_name': 0.009075729643780872, 'type': 'mojito'}",0.0,1.8211979629704729,1.0,[0.3262277 0.6737723],547-879,"[0.7379165, 0.7379165]","[0.6985378, 0.711239]",mojito-d
86,"{'ltable_description': 0.008563571955745513, 'ltable_id': 0.013208809549967008, 'rtable_description': -0.0012084399454908327, 'rtable_name': -0.006266950555061456, 'type': 'mojito'}",0.0,1.6069579849718139,1.0,[0.30989522 0.6901048 ],427-637,"[0.69110936, 0.7145798]","[0.604983, 0.6453893]",mojito-d
