,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
10,"{'ltable_description': 0.22636104198222773, 'ltable_name': 0.04175634335201048, 'ltable_price': 0.013661157380639537, 'rtable_description': 0.07100915735161518, 'rtable_name': -0.003189254043155556, 'rtable_price': -0.014380799305185332, 'type': 'landmark'}",0.0,7.461735175980721,1.0,[0.3524831  0.64751685],805-399,"[0.6984297, 0.6984297]","[0.7085545, 0.70991904]",landmark
11,"{'ltable_description': 0.19130268513143725, 'ltable_name': 0.02751784745003063, 'ltable_price': -0.005536950798453127, 'rtable_description': 0.14870956994207385, 'rtable_name': 0.033551879925954126, 'rtable_price': 0.003183096848545388, 'type': 'landmark'}",0.0,13.249533822992817,1.0,[0.26942772 0.7305723 ],987-653,"[0.7493227, 0.7493227]","[0.79275614, 0.8023085]",landmark
12,"{'ltable_description': 0.09841926149784935, 'ltable_name': 0.02059874436212363, 'ltable_price': 0.00447912095360763, 'rtable_description': 0.13094792129812555, 'rtable_name': 0.0036280027026482395, 'rtable_price': 0.008105225980944455, 'type': 'landmark'}",0.0,14.336371603014413,1.0,[0.2917084  0.70829165],710-660,"[0.70821804, 0.70821804]","[0.7158655, 0.7416193]",landmark
13,"{'ltable_description': 0.13048998203835493, 'ltable_name': 0.017769051391035524, 'ltable_price': 0.005762478462823208, 'rtable_description': 0.18535839462033826, 'rtable_name': -0.014117574514027635, 'rtable_price': 0.008979996930130485, 'type': 'landmark'}",0.0,13.61534586403286,1.0,[0.29862773 0.70137227],191-301,"[0.6985624, 0.6985624]","[0.70294887, 0.7254613]",landmark
14,"{'ltable_description': 0.1683543229300907, 'ltable_name': 0.03259671845448977, 'ltable_price': 0.002982033042613962, 'rtable_description': 0.04347908720126256, 'rtable_name': 0.024273034561730272, 'rtable_price': 0.011823833612881637, 'type': 'landmark'}",0.0,10.445567787974142,1.0,[0.3236707 0.6763293],169-235,"[0.6848265, 0.6848265]","[0.68527144, 0.6872487]",landmark
15,"{'ltable_description': 0.1567340442325644, 'ltable_name': 0.015261775467737108, 'ltable_price': 0.005600712363621875, 'rtable_description': 0.01052192749964518, 'rtable_name': 0.037205000093232195, 'rtable_price': 0.002839971789453076, 'type': 'landmark'}",0.0,12.02502151101362,1.0,[0.28205207 0.7179479 ],280-300,"[0.7060706, 0.7147797]","[0.7103921, 0.50755554]",landmark
16,"{'ltable_description': 0.18102385564597712, 'ltable_name': 0.03905814583363848, 'ltable_price': 0.01185142436675829, 'rtable_description': 0.0807326422980973, 'rtable_name': 0.01608887719137909, 'rtable_price': 0.0025979566441373817, 'type': 'landmark'}",0.0,15.588186510023661,1.0,[0.2944896  0.70551044],572-695,"[0.7189558, 0.7189558]","[0.7682179, 0.77963245]",landmark
17,"{'ltable_description': 0.15819083638980835, 'ltable_name': 0.025666948793209788, 'ltable_price': -0.003889177218269123, 'rtable_description': 0.256065666488197, 'rtable_name': 0.14323724377086378, 'rtable_price': 0.014686992311811739, 'type': 'landmark'}",0.0,10.376571489032358,1.0,[0.34274417 0.6572559 ],692-785,"[0.59168893, 0.59168893]","[0.6569318, 0.6877985]",landmark
18,"{'ltable_description': 0.16360781713830042, 'ltable_name': 0.03609110747523952, 'ltable_price': 0.0006119678906214279, 'rtable_description': 0.07145164554315678, 'rtable_name': 0.03609461787157826, 'rtable_price': 0.0014965081105842786, 'type': 'landmark'}",0.0,17.335892352974042,1.0,[0.3045196 0.6954804],853-686,"[0.72607404, 0.72607404]","[0.76356894, 0.769625]",landmark
19,"{'ltable_description': 0.2977858814758918, 'ltable_name': -0.0021097587089580045, 'ltable_price': -0.006631846342041236, 'rtable_description': 0.07491221617276475, 'rtable_name': 0.01469649745557581, 'rtable_price': 0.015811901807445246, 'type': 'landmark'}",0.0,14.166304128011689,1.0,[0.3290046 0.6709954],448-909,"[0.7194798, 0.7194798]","[0.7178796, 0.7168209]",landmark
20,"{'ltable_description': 0.15889280268605635, 'ltable_name': -0.007294572110180739, 'ltable_price': -0.008691364631452897, 'rtable_description': 0.2094332988938847, 'rtable_name': 0.06771654206858536, 'rtable_price': 0.0010711852042522797, 'type': 'landmark'}",0.0,16.028985188982915,1.0,[0.31846198 0.681538  ],946-874,"[0.67457885, 0.67457885]","[0.6842112, 0.7368396]",landmark
21,"{'ltable_description': 0.07786289399519608, 'ltable_name': -0.007260241865069284, 'ltable_price': -0.004084903467738684, 'rtable_description': 0.3229120469739924, 'rtable_name': -0.04865979952003326, 'rtable_price': 0.009549911503898124, 'type': 'landmark'}",0.0,13.369622409984004,1.0,[0.47317895 0.526821  ],388-917,"[0.5149627, 0.5149627]","[0.523857, 0.56406265]",landmark
22,"{'ltable_description': 0.12855202178828956, 'ltable_name': 0.00966592662134548, 'ltable_price': 0.00048623788234359233, 'rtable_description': 0.07173937506907456, 'rtable_name': -0.021862951655876196, 'rtable_price': 0.005227604888715549, 'type': 'landmark'}",0.0,12.414681205002125,1.0,[0.2833417 0.7166583],348-409,"[0.75403696, 0.75403696]","[0.74396443, 0.74489456]",landmark
23,"{'ltable_description': 0.2811997178794357, 'ltable_name': 0.01067489559884532, 'ltable_price': 0.008195176414104235, 'rtable_description': 0.11174340069709578, 'rtable_name': 0.023807809176096373, 'rtable_price': 0.007829118365315847, 'type': 'landmark'}",0.0,13.69023524702061,1.0,[0.30736092 0.69263905],486-544,"[0.6881169, 0.6881169]","[0.7383898, 0.7520897]",landmark
24,"{'ltable_description': 0.28175190194148436, 'ltable_name': 0.005263083498801637, 'ltable_price': 0.0050232305358501005, 'rtable_description': 0.2784331012303054, 'rtable_name': -0.005086422695156418, 'rtable_price': 0.003233309648365825, 'type': 'landmark'}",0.0,14.736245613952633,1.0,[0.29122737 0.7087726 ],997-991,"[0.714555, 0.714555]","[0.7204768, 0.7461036]",landmark
25,"{'ltable_description': 0.15816293704718973, 'ltable_name': 0.032475319335796254, 'ltable_price': -0.0008100509504046699, 'rtable_description': 0.21364112856544978, 'rtable_name': -0.011504389144973357, 'rtable_price': 0.0020779304360814396, 'type': 'landmark'}",0.0,9.328848258010112,1.0,[0.31359932 0.6864007 ],1015-541,"[0.6865675, 0.6865675]","[0.73893315, 0.75736827]",landmark
26,"{'ltable_description': 0.24725638126070176, 'ltable_name': 0.028525846129228177, 'ltable_price': 0.004244141741636679, 'rtable_description': 0.06928626259653113, 'rtable_name': 0.005487131937909288, 'rtable_price': 0.003197468939886843, 'type': 'landmark'}",0.0,19.984215426957235,1.0,[0.3904704 0.6095296],483-414,"[0.63711023, 0.63711023]","[0.65988225, 0.6658533]",landmark
27,"{'ltable_description': 0.06639986724898742, 'ltable_name': 0.00902369142163784, 'ltable_price': 0.002385605252805266, 'rtable_description': 0.030761761568064025, 'rtable_name': 0.023139982180150953, 'rtable_price': 0.0063915826406257086, 'type': 'landmark'}",0.0,11.986117136024404,1.0,[0.29616135 0.70383865],251-247,"[0.70745826, 0.70745826]","[0.72353727, 0.7588605]",landmark
28,"{'ltable_description': 0.3673768585652247, 'ltable_name': 0.052097440060562834, 'ltable_price': -0.0019276801768820027, 'rtable_description': 0.13278484680624097, 'rtable_name': 0.045773116074625475, 'rtable_price': -0.007592171749500643, 'type': 'landmark'}",0.0,11.370341575006023,1.0,[0.46514142 0.5348586 ],850-827,"[0.55015063, 0.55015063]","[0.5511575, 0.55152196]",landmark
29,"{'ltable_description': 0.29103746666062863, 'ltable_name': 0.008369348771039531, 'ltable_price': -0.0050698727071132165, 'rtable_description': 0.24460170159196792, 'rtable_name': 0.01964616974088365, 'rtable_price': 0.003626129787964386, 'type': 'landmark'}",0.0,15.764519298041705,1.0,[0.3126212 0.6873788],521-537,"[0.6918395, 0.6918395]","[0.7158838, 0.72819227]",landmark
30,"{'ltable_description': 0.09613095902199877, 'ltable_name': 0.012511766803024321, 'ltable_price': -0.0028908098387965394, 'rtable_description': 0.11662011181447249, 'rtable_name': -0.0018762819751439487, 'rtable_price': 0.008084267546034937, 'type': 'landmark'}",0.0,14.763737483008299,1.0,[0.41572753 0.5842725 ],863-388,"[0.55312485, 0.55312485]","[0.5819052, 0.58769596]",landmark
31,"{'ltable_description': 0.1121463199427658, 'ltable_name': 0.031494495951617144, 'ltable_price': 0.007090694597591504, 'rtable_description': 0.1048004152628484, 'rtable_name': 0.009846898432665237, 'rtable_price': 0.001413749164581389, 'type': 'landmark'}",0.0,13.23716856102692,1.0,[0.2628008 0.7371992],252-723,"[0.7632567, 0.7632567]","[0.7589988, 0.7106381]",landmark
32,"{'ltable_description': 0.10777034008634229, 'ltable_name': 0.06577843323936616, 'ltable_price': 0.009447036883466922, 'rtable_description': 0.16258704876827484, 'rtable_name': -0.005192620370785998, 'rtable_price': 0.006241590865244106, 'type': 'landmark'}",0.0,7.109029141021892,1.0,[0.3105987 0.6894013],49-225,"[0.6768358, 0.6768358]","[0.68552756, 0.69623125]",landmark
33,"{'ltable_description': 0.15210094266385277, 'ltable_name': 0.037182455404742056, 'ltable_price': -0.010314917627435752, 'rtable_description': 0.15308387680192467, 'rtable_name': 0.02507857756248943, 'rtable_price': 0.010457471415773925, 'type': 'landmark'}",0.0,15.02611281600548,1.0,[0.29568684 0.70431316],572-646,"[0.70357794, 0.70357794]","[0.72985345, 0.78584546]",landmark
34,"{'ltable_description': 0.12811920222756062, 'ltable_name': 0.027821332058667388, 'ltable_price': -0.0002961102804809237, 'rtable_description': 0.05756266761406255, 'rtable_name': 0.0007214343195881245, 'rtable_price': -0.015074627921980261, 'type': 'landmark'}",0.0,12.103700234962162,1.0,[0.36727962 0.63272035],1031-333,"[0.63366544, 0.63366544]","[0.63138735, 0.6274832]",landmark
35,"{'ltable_description': 0.24475019523668726, 'ltable_name': 0.010295059435286337, 'ltable_price': 0.01405609189849837, 'rtable_description': 0.07662700488371929, 'rtable_name': 0.030115551439024175, 'rtable_price': 0.0030355608174509564, 'type': 'landmark'}",0.0,13.471785066998564,1.0,[0.21493822 0.7850618 ],456-980,"[0.8113897, 0.8113897]","[0.8010417, 0.7925128]",landmark
36,"{'ltable_description': 0.043127236659415674, 'ltable_name': 0.006669279599268385, 'ltable_price': -0.0007392814609737267, 'rtable_description': 0.06622437125825818, 'rtable_name': -0.008610367615728963, 'rtable_price': -0.002963759310257367, 'type': 'landmark'}",0.0,18.16765552596189,1.0,[0.28715643 0.71284354],1038-863,"[0.70628804, 0.70628804]","[0.7300753, 0.7609312]",landmark
37,"{'ltable_description': 0.1370458931659613, 'ltable_name': 0.039466329838920795, 'ltable_price': -0.006891293459375484, 'rtable_description': 0.14746359069589293, 'rtable_name': 0.06449778886380853, 'rtable_price': 0.006578951955211455, 'type': 'landmark'}",0.0,10.595788553997409,1.0,[0.39761698 0.602383  ],807-1049,"[0.5985245, 0.5985245]","[0.60379964, 0.61844116]",landmark
38,"{'ltable_description': 0.23101482262965153, 'ltable_name': 0.02332910414002557, 'ltable_price': 0.007207398906227028, 'rtable_description': 0.2100676055765317, 'rtable_name': 0.050522618112861455, 'rtable_price': 0.006604797342772091, 'type': 'landmark'}",0.0,18.98769415298011,1.0,[0.2921985  0.70780146],889-579,"[0.75710523, 0.75710523]","[0.7578089, 0.75616014]",landmark
39,"{'ltable_description': 0.16221681140294839, 'ltable_name': 0.02158433240138205, 'ltable_price': 0.00996361867772882, 'rtable_description': 0.12380021364283199, 'rtable_name': 0.0027026236889454032, 'rtable_price': 0.005404423445043251, 'type': 'landmark'}",0.0,12.78371911594877,1.0,[0.28606668 0.71393335],611-675,"[0.7188965, 0.7188965]","[0.7493761, 0.7731977]",landmark
40,"{'ltable_description': 0.3452795106158824, 'ltable_name': 0.008653921387540144, 'ltable_price': 0.009841348484849253, 'rtable_description': 0.18920812548314475, 'rtable_name': 0.02592775077395505, 'rtable_price': 0.0014830668620412048, 'type': 'landmark'}",0.0,14.185161867993884,1.0,[0.29190302 0.70809704],741-834,"[0.73772204, 0.73772204]","[0.7718445, 0.7811856]",landmark
41,"{'ltable_description': 0.20190953461979155, 'ltable_name': 0.01327352511566597, 'ltable_price': 0.008447220296992086, 'rtable_description': 0.15480625082533653, 'rtable_name': 0.02182707100324704, 'rtable_price': -0.002826069225844435, 'type': 'landmark'}",0.0,19.036908804031555,1.0,[0.2888891 0.7111109],439-581,"[0.7721636, 0.7721636]","[0.77435404, 0.773543]",landmark
42,"{'ltable_description': 0.27054206460117647, 'ltable_name': 0.016152885338559186, 'ltable_price': -0.0030567714726051987, 'rtable_description': 0.2598611241982829, 'rtable_name': 0.01555581422782042, 'rtable_price': 0.004555108629300458, 'type': 'landmark'}",0.0,15.22467282100115,1.0,[0.2918586  0.70814145],680-1076,"[0.7098074, 0.7098074]","[0.7471493, 0.7580458]",landmark
43,"{'ltable_description': 0.08166047423029055, 'ltable_name': 0.038410023394895014, 'ltable_price': 0.011333988977833446, 'rtable_description': 0.06171954502001088, 'rtable_name': 0.05659248235313145, 'rtable_price': 0.007103410231090473, 'type': 'landmark'}",0.0,10.535383119015023,1.0,[0.40004033 0.5999597 ],106-4,"[0.6002558, 0.6002558]","[0.6005771, 0.6074446]",landmark
44,"{'ltable_description': 0.06809301024125028, 'ltable_name': 0.0013091480775811364, 'ltable_price': 0.004273252152361226, 'rtable_description': 0.14001998098383708, 'rtable_name': 0.033315538027667416, 'rtable_price': 0.00950588906586092, 'type': 'landmark'}",0.0,14.598276045988314,1.0,[0.41097337 0.5890267 ],312-487,"[0.5915212, 0.5915212]","[0.59783095, 0.6073639]",landmark
45,"{'ltable_description': 0.11773057704914261, 'ltable_name': -0.02466329487227114, 'ltable_price': -0.005525019778117182, 'rtable_description': 0.16335235292933287, 'rtable_name': 0.05548644284047266, 'rtable_price': 0.026704040919792137, 'type': 'landmark'}",0.0,14.33632928703446,1.0,[0.35391918 0.6460808 ],647-855,"[0.6087742, 0.6087742]","[0.64432573, 0.6476376]",landmark
46,"{'ltable_description': 0.30508425067061057, 'ltable_name': 0.008877821014645858, 'ltable_price': -0.0029878992401959834, 'rtable_description': 0.08652805694780427, 'rtable_name': 0.03334375968202474, 'rtable_price': 0.016344066050863734, 'type': 'landmark'}",0.0,19.062937764043454,1.0,[0.25141737 0.74858266],930-125,"[0.76359814, 0.76359814]","[0.75857556, 0.72069395]",landmark
47,"{'ltable_description': 0.17180740280530815, 'ltable_name': 0.016055879666061257, 'ltable_price': 0.004033395613187258, 'rtable_description': 0.24474641158619648, 'rtable_name': 0.00559020146423059, 'rtable_price': 0.0070380454006790955, 'type': 'landmark'}",0.0,25.980395933962427,1.0,[0.296307 0.703693],482-606,"[0.6966508, 0.6966508]","[0.7717436, 0.796622]",landmark
48,"{'ltable_description': 0.17659725045228875, 'ltable_name': 0.05945793724364051, 'ltable_price': 0.008145116581959098, 'rtable_description': 0.06122335587756199, 'rtable_name': 0.020654887860337354, 'rtable_price': -0.0005421198320620878, 'type': 'landmark'}",0.0,13.722728844033554,1.0,[0.24793144 0.7520686 ],57-107,"[0.75597197, 0.75597197]","[0.74539024, 0.7458926]",landmark
49,"{'ltable_description': 0.12624415606575048, 'ltable_name': 0.07117058303927098, 'ltable_price': -0.01429707870810658, 'rtable_description': 0.14876462290181383, 'rtable_name': 0.07726504988817097, 'rtable_price': 0.00018497289628660734, 'type': 'landmark'}",0.0,10.107766800036188,1.0,[0.1903429 0.8096571],1014-250,"[0.73356485, 0.73356485]","[0.7824501, 0.7945186]",landmark
50,"{'ltable_description': 0.09006031552885076, 'ltable_name': 0.008847480598236982, 'ltable_price': -0.0018652624236495654, 'rtable_description': 0.3370849447481916, 'rtable_name': 0.04470515409387115, 'rtable_price': 0.016989942769549172, 'type': 'landmark'}",0.0,14.59658994100755,1.0,[0.37890542 0.6210945 ],720-798,"[0.58494365, 0.58494365]","[0.61994463, 0.6403765]",landmark
51,"{'ltable_description': 0.17591480614552482, 'ltable_name': 0.0007014187382930785, 'ltable_price': -0.009893050727053855, 'rtable_description': 0.1313674075451091, 'rtable_name': 0.006643835850300305, 'rtable_price': -0.01415393566228925, 'type': 'landmark'}",0.0,19.120512522989884,1.0,[0.31181023 0.68818974],594-1012,"[0.6989691, 0.6989691]","[0.72449106, 0.78147775]",landmark
52,"{'ltable_description': 0.30308265001385687, 'ltable_name': 0.027322871614519417, 'ltable_price': -0.00604246302649084, 'rtable_description': 0.18438571288710043, 'rtable_name': 0.01820147347180768, 'rtable_price': -0.0029412845013620124, 'type': 'landmark'}",0.0,16.31234783201944,1.0,[0.3032991 0.6967009],683-882,"[0.70180875, 0.70180875]","[0.74103916, 0.77340776]",landmark
53,"{'ltable_description': 0.2494699393593814, 'ltable_name': 0.030481784029772224, 'ltable_price': 0.0004756392232253263, 'rtable_description': 0.08783801019006637, 'rtable_name': 0.04450341443102714, 'rtable_price': -0.015072019261707995, 'type': 'landmark'}",0.0,22.303331278031692,1.0,[0.29138908 0.7086109 ],949-511,"[0.7400646, 0.7400646]","[0.77425146, 0.7808477]",landmark
54,"{'ltable_description': 0.22864835236607373, 'ltable_name': -0.0005692200900487029, 'ltable_price': 0.0031015604404665215, 'rtable_description': 0.29870812136856056, 'rtable_name': 0.041818665317757575, 'rtable_price': 0.006529009084759351, 'type': 'landmark'}",0.0,28.07741306797834,1.0,[0.25205535 0.7479446 ],1060-587,"[0.75011796, 0.75011796]","[0.75548404, 0.75112075]",landmark
55,"{'ltable_description': 0.11640214713675598, 'ltable_name': 0.02566124116584757, 'ltable_price': 0.004792316960576887, 'rtable_description': 0.06409840086553863, 'rtable_name': 0.026380778903865306, 'rtable_price': 0.0017523771511657707, 'type': 'landmark'}",0.0,12.106709675048478,1.0,[0.28847182 0.7115281 ],1022-342,"[0.73152924, 0.73152924]","[0.7291494, 0.72832984]",landmark
56,"{'ltable_description': 0.21872304937615036, 'ltable_name': 0.021225586094907628, 'ltable_price': 0.0076662087588484935, 'rtable_description': 0.07093284335455291, 'rtable_name': 0.04095687571031255, 'rtable_price': 0.0073144574813265775, 'type': 'landmark'}",0.0,12.855327582044993,1.0,[0.23989037 0.76010966],452-509,"[0.7770316, 0.7770316]","[0.807345, 0.8122947]",landmark
57,"{'ltable_description': 0.18641033294576373, 'ltable_name': 0.007082983811767076, 'ltable_price': 0.0020049991854662495, 'rtable_description': 0.3067689204261094, 'rtable_name': 0.015939278024499053, 'rtable_price': 0.006449509140360146, 'type': 'landmark'}",0.0,17.78336711000884,1.0,[0.27643904 0.7235609 ],491-936,"[0.7226981, 0.7226981]","[0.74894476, 0.8091021]",landmark
58,"{'ltable_description': 0.15699468417295281, 'ltable_name': 0.04160178335379903, 'ltable_price': 0.013543563494362693, 'rtable_description': 0.10696938977674517, 'rtable_name': 0.10734809750018486, 'rtable_price': 0.0058724905107865495, 'type': 'landmark'}",0.0,13.8392705929582,1.0,[0.2781745  0.72182554],509-592,"[0.73484546, 0.72948974]","[0.7343693, 0.52599233]",landmark
59,"{'ltable_description': 0.2225466662313051, 'ltable_name': -0.009467454865325098, 'ltable_price': 0.0014415678158172423, 'rtable_description': 0.38484309828892116, 'rtable_name': 0.0009311084886743277, 'rtable_price': 0.0025620921770815163, 'type': 'landmark'}",0.0,13.93158814002527,1.0,[0.31104067 0.6889593 ],131-584,"[0.7007535, 0.7007535]","[0.7883392, 0.79799163]",landmark
60,"{'ltable_description': 0.23276107553632955, 'ltable_name': 0.026931475469905434, 'ltable_price': 0.004462820759084507, 'rtable_description': 0.11681666481464342, 'rtable_name': 0.006794602532206236, 'rtable_price': -0.008364894340373578, 'type': 'landmark'}",0.0,17.622448457987048,1.0,[0.3477503 0.6522497],902-418,"[0.6896903, 0.6896903]","[0.71309024, 0.723003]",landmark
61,"{'ltable_description': 0.14637327161467548, 'ltable_name': 0.026588257741996132, 'ltable_price': 0.0009275304032737592, 'rtable_description': 0.13223204341164596, 'rtable_name': 0.0513536702046011, 'rtable_price': -0.00466654214398293, 'type': 'landmark'}",0.0,18.83248460298637,1.0,[0.36640188 0.6335981 ],903-541,"[0.65700436, 0.65700436]","[0.6907293, 0.7311509]",landmark
62,"{'ltable_description': 0.3381775699718462, 'ltable_name': -0.004348483766274294, 'ltable_price': -0.0022454954512756953, 'rtable_description': 0.13610493076322747, 'rtable_name': 0.12001320328922606, 'rtable_price': 0.008493506741949887, 'type': 'landmark'}",0.0,22.618233678978868,1.0,[0.3153429 0.6846571],930-1032,"[0.6970494, 0.6970494]","[0.6968373, 0.6962929]",landmark
63,"{'ltable_description': 0.16595110073730157, 'ltable_name': -0.00924990829266221, 'ltable_price': 0.015953789774820194, 'rtable_description': 0.2056052414341532, 'rtable_name': 0.018460857879331577, 'rtable_price': 0.0039720264896641886, 'type': 'landmark'}",0.0,24.07366620801622,1.0,[0.3077473  0.69225276],479-586,"[0.6870548, 0.6870548]","[0.6926708, 0.7510436]",landmark
64,"{'ltable_description': 0.2073090624679953, 'ltable_name': 0.023079893424253563, 'ltable_price': 0.0024865105934427463, 'rtable_description': 0.23603287705356438, 'rtable_name': -0.007212833793743061, 'rtable_price': -0.008635486070830346, 'type': 'landmark'}",0.0,19.732262982986867,1.0,[0.30399048 0.6960095 ],905-538,"[0.68226314, 0.68226314]","[0.70311445, 0.72048044]",landmark
65,"{'ltable_description': 0.16267486769677555, 'ltable_name': 0.024256486398791174, 'ltable_price': 0.007137084196133378, 'rtable_description': 0.04024567143840489, 'rtable_name': 0.013048208115463476, 'rtable_price': -0.0007514423590752701, 'type': 'landmark'}",0.0,18.00886287895264,1.0,[0.30046818 0.69953185],542-1074,"[0.7228364, 0.7228364]","[0.71968967, 0.7211262]",landmark
66,"{'ltable_description': 0.25956948214720704, 'ltable_name': -0.007580647222601506, 'ltable_price': -0.004937039050913768, 'rtable_description': 0.10480924481586741, 'rtable_name': 0.00788239721505068, 'rtable_price': 0.0005599003778996125, 'type': 'landmark'}",0.0,17.86119691003114,1.0,[0.3147318 0.6852682],946-542,"[0.70359606, 0.70359606]","[0.73264647, 0.7536533]",landmark
67,"{'ltable_description': 0.1953726322040784, 'ltable_name': 0.018843815598759372, 'ltable_price': -7.777823193971887e-05, 'rtable_description': 0.09518895951860294, 'rtable_name': -0.0033391756172074854, 'rtable_price': -0.001890181075646371, 'type': 'landmark'}",0.0,21.327473238983657,1.0,[0.3116308 0.6883692],901-980,"[0.7524689, 0.7524689]","[0.74216497, 0.731655]",landmark
68,"{'ltable_description': 0.271274855148474, 'ltable_name': -0.013341346902676073, 'ltable_price': 0.015026575370291801, 'rtable_description': 0.0937112541027874, 'rtable_name': 0.058589360766268674, 'rtable_price': -0.0007268059218229382, 'type': 'landmark'}",0.0,16.559144313039724,1.0,[0.31027538 0.6897247 ],487-542,"[0.7079772, 0.7079772]","[0.7316207, 0.75213087]",landmark
69,"{'ltable_description': 0.1949288300827233, 'ltable_name': 0.028105692856256363, 'ltable_price': 0.00994346929305975, 'rtable_description': 0.21641875704598001, 'rtable_name': 0.038433002529222965, 'rtable_price': -0.004798185760233357, 'type': 'landmark'}",0.0,16.017657040036283,1.0,[0.29086486 0.7091352 ],448-907,"[0.69857574, 0.69857574]","[0.71640706, 0.7675375]",landmark
70,"{'ltable_description': 0.05348191149961598, 'ltable_name': 0.005981643233398923, 'ltable_price': 0.00408712368828219, 'rtable_description': 0.2117210078323442, 'rtable_name': 0.011330816688430261, 'rtable_price': -0.012278168042298913, 'type': 'landmark'}",0.0,22.345535698987078,1.0,[0.33654332 0.6634567 ],900-573,"[0.64103246, 0.64103246]","[0.65355176, 0.75325197]",landmark
71,"{'ltable_description': 0.1872038589495583, 'ltable_name': 0.06790487102626457, 'ltable_price': 0.006676555300099602, 'rtable_description': 0.04966281541850299, 'rtable_name': -0.02074160021705046, 'rtable_price': -0.004237691278520995, 'type': 'landmark'}",0.0,14.504992834990844,1.0,[0.41282442 0.58717555],854-503,"[0.60023814, 0.6055187]","[0.603088, 0.63557535]",landmark
