,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
15,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,21.28,"('rtable_manufacturer', 'rtable_price')","[nan, 85.95]","[nan, 21.28]",0.18766952,0.8123305,2
13,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('rtable_manufacturer',)",[nan],[nan],0.38051358,0.6194864,2
11,adobe photoshop elements 4.0 ( mac ),chronos l.c.,34.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer', 'ltable_price')","['adobe', 89.99]","['chronos l.c.', 34.99]",0.015946876,0.98405313,2
10,chronos stickybrain 3.0 ( mac ),adobe,34.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title', 'ltable_price')","['adobe photoshop elements 4.0 ( mac )', 89.99]","['chronos stickybrain 3.0 ( mac )', 34.99]",0.25592065,0.74407935,2
9,chronos stickybrain 3.0 ( mac ),chronos l.c.,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title', 'ltable_manufacturer')","['adobe photoshop elements 4.0 ( mac )', 'adobe']","['chronos stickybrain 3.0 ( mac )', 'chronos l.c.']",0.010485048,0.98951495,2
8,adobe photoshop elements 4.0 ( mac ),chronos l.c.,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['chronos l.c.'],0.012274674,0.9877253,2
7,chronos stickybrain 3.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title',)",['adobe photoshop elements 4.0 ( mac )'],['chronos stickybrain 3.0 ( mac )'],0.37249458,0.6275054,2
6,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['adobe'],0.38051358,0.6194864,2
5,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,19.23,"('rtable_manufacturer', 'rtable_price')","[nan, 85.95]","[nan, 19.23]",0.13617086,0.8638291,2
4,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,19.23,"('rtable_price',)",[85.95],[19.23],0.13617086,0.8638291,2
3,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('rtable_manufacturer',)",[nan],[nan],0.38051358,0.6194864,2
2,adobe photoshop elements 4.0 ( mac ),onone software,,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer', 'ltable_price')","['adobe', 89.99]","['onone software', nan]",0.12153162,0.8784684,2
1,adobe photoshop elements 4.0 ( mac ),adobe,,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_price',)",[89.99],[nan],0.4511155,0.5488846,2
14,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,21.28,"('rtable_price',)",[85.95],[21.28],0.18766926,0.8123307,2
12,chronos stickybrain 3.0 ( mac ),chronos l.c.,34.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe photoshop elements 4.0 ( mac )', 'adobe', 89.99]","['chronos stickybrain 3.0 ( mac )', 'chronos l.c.', 34.99]",0.011340171,0.98865986,3
20,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['adobe photoshop elements 4.0 ( mac )', 'adobe', 89.99]","['photoshop elements 4 mac retail eng 1u ( 19230169 )', 'adobe', 145.39]",0.31707552,0.68292457,3
31,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 mac academic,adobe-education-box,69.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['adobe photoshop elements 4.0 photo-editing software for mac', nan, 85.95]","['adobe photoshop elements 4.0 mac academic', 'adobe-education-box', 69.99]",0.20519604,0.79480404,3
