,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match,label
34,1391,local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000,10963,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,0.0012645544,0
35,2113,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,4298,continuous queries over data streams,"s balu , j widom",,,6.72541e-12,0
36,997,join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,53122,icicles : self-tuning samples for approximate query answering,"v ganti , ml lee , r ramakrishnan","vldb ,",2000.0,8.407276e-14,0
37,667,advances in real-time database systems research,a bestavros,sigmod record,1996,8795,special issue on real-time database systems,a bestavros,"sigmod record ,",,1.0830883e-12,0
38,2076,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,38242,compensation-based on-line query processing,"v srinivasan , mj carey","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,7.905125e-10,0
39,425,editor 's notes,m franklin,sigmod record,1998,50887,editor 's notes,rh silkman,"new directions for program evaluation ,",,1.5466634e-15,0
40,1487,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,16499,modern database systems,w kimâ ? ¦,,1995.0,2.6122648e-13,0
41,846,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000,53598,"lopez. , m. : indexing the position of continuously moving objects","s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,,0.24818033,1
42,1785,sequence query processing,"p seshadri , m livny , r ramakrishnan",sigmod conference,1994,42348,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",,4.546365e-15,0
43,1357,"set containment joins : the good , the bad and the ugly","k ramasamy , j patel , j naughton , r kaushik",vldb,2000,50278,"data management in ecommerce : the good , the bad , and the ugly",a gal,,,1.414415e-11,0
44,1640,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,55264,mining association rules between sets ofitems in large databases,"r agrawal , t imielinski , a swami","conference on management of data . washington ,",,4.8063153e-08,0
45,2213,generic database cost models for hierarchical memory systems,"s manegold , p boncz , m kersten",vldb,2002,26608,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,1.16252004e-07,0
46,2388,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,27440,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori","acm transactions on database systems ,",2003.0,1.2235984e-05,0
47,2510,an experimental system for object-based sharing in federated databases,"d fang , s ghandeharizadeh",vldb j.,1996,18329,a dynamic model for conceptual clustering in object-oriented databases,"q li , j smith","proc . of vldb ,",,6.1383803e-13,0
48,479,reminiscences on influential papers,,,1999,14191,reminiscences on influential papers,e bertino,"acm transactions on database systems ,",1976.0,0.00048333465,0
49,670,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,2835,"andb . eftring , deeds : towards a distributed and active real-time database systems","sf andler , j hansson , j eriksson , j mellin , m","acm sigmod record ,",,0.00018287454,1
