,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match,label
25,1034,optimizing multi-feature queries for image databases,"ulrich güntzer , werner kießling , wolf-tilo balke",vldb,2000,1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996,8.847326e-06,0
26,1009,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,835,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999,0.00011035654,0
27,469,infoharness : a system for search and retrieval of heterogeneous information,"amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",sigmod conference,1995,1531,infoharness : a system for search and retrieval of heterogeneous information,"leon shklar , amit sheth , vipul kashyap , satish thatte",international conference on management of data,1995,0.025034528,1
28,746,lore : a lightweight object repository for semistructured data,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",sigmod conference,1996,48,storing semistructured data with stored,"alin deutsch , mary fernandez , dan suciu",international conference on management of data,1999,4.5710595e-11,0
29,1681,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,531,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,0.007322595,1
30,2315,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,400,disima : a distributed and interoperable image database system,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",international conference on management of data,2000,2.2210348e-12,0
31,343,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001,704,hd-eye : visual clustering of high dimensional data,"alexander hinneburg , daniel a. keim , markus wawryniuk",international conference on management of data,2002,8.248555e-09,0
32,287,converting relational to object-oriented databases,joseph fong,sigmod record,1997,1915,converting relational to object-oriented databases,joseph fong,acm sigmod record,1997,0.03602925,1
33,2404,a database model for object dynamics,"mike p. papazoglou , bernd j. krämer",vldb j.,1997,1579,an annotated bibliography of benchmarks for object databases,akmal b. chaudhri,acm sigmod record,1995,4.4800705e-09,0
34,1086,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass",vldb j.,2002,1216,guest editorial,"paolo atzeni , alberto o. mendelzon",the vldb journal -- the international journal on very large data bases,2000,5.0970982e-08,0
35,727,rate-based query optimization for streaming information sources,"jeffrey f. naughton , stratis viglas",sigmod conference,2002,306,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,4.0865085e-17,0
36,198,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,445,efficient and cost-effective techniques for browsing and indexing large video databases,"junghwan oh , kien a. hua",international conference on management of data,2000,9.754513e-13,0
37,290,efficient computation of iceberg cubes with complex measures,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,2001,942,fast computation of sparse datacubes,"kenneth a. ross , divesh srivastava",very large data bases,1997,3.77365e-12,0
38,1684,"social , educational , and governmental change enabled through information technology","michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",vldb,2000,1381,"social , educational , and governmental change enabled through information technology","krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",very large data bases,2000,0.99621505,1
39,1310,describing semistructured data,luca cardelli,sigmod record,2001,1313,a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001,3.6621053e-08,0
40,1613,transparent mid-tier database caching in sql server,"per-åke larson , jingren zhou , jonathan goldstein",sigmod conference,2003,2015,transparent mid-tier database caching in sql server,"per - &#197; ke larson , jonathan goldstein , jingren zhou",international conference on management of data,2003,8.2880695e-07,1
41,1119,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,1114,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,7.171533e-15,0
42,1221,coss : the common object services specifications,bruce e. martin,sigmod conference,1994,1616,coss : the common object services specifications,bruce e. martin,international conference on management of data,1994,0.49259624,1
43,470,a database system for real-time event aggregation in telecommunication,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",vldb,1998,2126,research issues for data communication in mobile ad-hoc network database systems,"leslie d. fife , le gruenwald",acm sigmod record,2003,9.137077e-09,0
44,1841,anatomy of a real e-commerce system,anant jhingran,sigmod conference,2000,397,anatomy of a real e-commerce system,anant jhingran,international conference on management of data,2000,0.03721246,1
45,805,orthogonally persistent object systems,"malcolm p. atkinson , ronald morrison",vldb j.,1995,1666,ptool : a scalable persistent object manager,"r. l. grossman , x. qin",international conference on management of data,1994,3.6009038e-08,0
46,256,incremental clustering for mining in a data warehousing environment,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",vldb,1998,1031,multiple-view self-maintenance in data warehousing environments,nam huyn,very large data bases,1997,1.3549985e-08,0
47,1321,xquery : a query language for xml,donald d. chamberlin,sigmod conference,2003,902,a graphical query language for mobile information systems,ya-hui chang,acm sigmod record,2003,3.0987497e-11,0
48,1228,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",vldb,2001,943,merging ranks from heterogeneous internet sources,"luis gravano , hector garcia-molina",very large data bases,1997,4.3304964e-09,0
49,1016,implementation aspects of an object-oriented dbms,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",sigmod record,1995,1983,static detection of security flaws in object-oriented databases,keishi tajima,international conference on management of data,1996,8.676717e-10,0
