,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score
10,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control,104.95,"('rtable_name', 'rtable_description')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","['sony turntable pslx350h', 'speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control']",0.9524181447923183,0.047581855207681656
11,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,,"('rtable_name', 'rtable_price')","['olympus fe-360 digital camera pink 226540', 104.95]","['sony turntable pslx350h', nan]",0.9477736800909042,0.052226319909095764
12,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control,,"('rtable_description', 'rtable_price')","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control', nan]",0.5016493797302246,0.4983506202697754
13,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control,,"('rtable_name', 'rtable_description', 'rtable_price')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['sony turntable pslx350h', 'speeds servo speed control supplied moving magnet phono cartridge bonded diamond stylus static balance tonearm pitch control', nan]",0.9494180828332901,0.0505819171667099
14,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,bose acoustimass 5 series iii speaker system am53bk,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('rtable_name',)",['olympus fe-360 digital camera pink 226540'],['bose acoustimass 5 series iii speaker system am53bk'],0.9621240124106407,0.03787598758935928
15,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,bose acoustimass,104.95,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",['bose acoustimass'],0.5479911863803864,0.45200881361961365
16,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,399.0,"('rtable_price',)",[104.95],[399.0],0.7839992642402649,0.2160007357597351
17,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,bose acoustimass 5 series iii speaker system am53bk,bose acoustimass,104.95,"('rtable_name', 'rtable_description')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","['bose acoustimass 5 series iii speaker system am53bk', 'bose acoustimass']",0.9597557373344898,0.04024426266551018
18,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,bose acoustimass 5 series iii speaker system am53bk,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,399.0,"('rtable_name', 'rtable_price')","['olympus fe-360 digital camera pink 226540', 104.95]","['bose acoustimass 5 series iii speaker system am53bk', 399.0]",0.9558041915297508,0.044195808470249176
19,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,bose acoustimass,399.0,"('rtable_description', 'rtable_price')","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['bose acoustimass', 399.0]",0.7322043478488922,0.2677956521511078
20,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,bose acoustimass 5 series iii speaker system am53bk,bose acoustimass,399.0,"('rtable_name', 'rtable_description', 'rtable_price')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['bose acoustimass 5 series iii speaker system am53bk', 'bose acoustimass', 399.0]",0.9538855813443661,0.046114418655633926
21,olympus fe-360 digital,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name',)",['sony pink cyber-shot 7.2 megapixel digital camera dscw120p'],['olympus fe-360 digital'],0.17377716302871704,0.826222836971283
22,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",0.49094200134277344,0.5090579986572266
23,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,104.95,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_price',)",[nan],[104.95],0.43848007917404175,0.5615199208259583
24,olympus fe-360 digital,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name', 'ltable_description')","['sony pink cyber-shot 7.2 megapixel digital camera dscw120p', ""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['olympus fe-360 digital', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",0.10259079933166504,0.897409200668335
25,olympus fe-360 digital,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,104.95,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name', 'ltable_price')","['sony pink cyber-shot 7.2 megapixel digital camera dscw120p', nan]","['olympus fe-360 digital', 104.95]",0.134690523147583,0.865309476852417
26,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_description', 'ltable_price')","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish"", nan]","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]",0.2745239734649658,0.7254760265350342
27,olympus fe-360 digital,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name', 'ltable_description', 'ltable_price')","['sony pink cyber-shot 7.2 megapixel digital camera dscw120p', ""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish"", nan]","['olympus fe-360 digital', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]",0.09112399816513062,0.9088760018348694
28,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,iii speaker system am53bk,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('rtable_name',)",['olympus fe-360 digital camera pink 226540'],['iii speaker system am53bk'],0.9701707605272532,0.02982923947274685
29,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,104.95,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","[""bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish""]",0.5911056399345398,0.4088943600654602
30,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,399.0,"('rtable_price',)",[104.95],[399.0],0.7499047219753265,0.25009527802467346
31,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,iii speaker system am53bk,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,104.95,"('rtable_name', 'rtable_description')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","['iii speaker system am53bk', ""bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish""]",0.9686616845428944,0.03133831545710564
32,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,iii speaker system am53bk,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,399.0,"('rtable_name', 'rtable_price')","['olympus fe-360 digital camera pink 226540', 104.95]","['iii speaker system am53bk', 399.0]",0.9657306335866451,0.034269366413354874
33,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,399.0,"('rtable_description', 'rtable_price')","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","[""bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish"", 399.0]",0.7410437166690826,0.25895628333091736
34,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,iii speaker system am53bk,bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish,399.0,"('rtable_name', 'rtable_description', 'rtable_price')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['iii speaker system am53bk', ""bose acoustimass 5 series iii speaker system am53bk 2 dual cube speakers with two 2-1/2 ' wide-range drivers in each speaker powerful bass module with two 5-1/2 ' woofers 200 watts max power black finish"", 399.0]",0.9640746042132378,0.03592539578676224
35,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('rtable_name',)",['olympus fe-360 digital camera pink 226540'],['sony turntable pslx350h'],0.9509263895452023,0.049073610454797745
36,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm,104.95,"('rtable_description',)","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]",['sony turntable pslx350h belt drive system 33-1/3 and 45 rpm'],0.5628639161586761,0.43713608384132385
37,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,,"('rtable_price',)",[104.95],[nan],0.48172909021377563,0.5182709097862244
38,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm,104.95,"('rtable_name', 'rtable_description')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd""]","['sony turntable pslx350h', 'sony turntable pslx350h belt drive system 33-1/3 and 45 rpm']",0.9488568603992462,0.051143139600753784
39,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,,"('rtable_name', 'rtable_price')","['olympus fe-360 digital camera pink 226540', 104.95]","['sony turntable pslx350h', nan]",0.9479382075369358,0.052061792463064194
40,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm,,"('rtable_description', 'rtable_price')","[""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['sony turntable pslx350h belt drive system 33-1/3 and 45 rpm', nan]",0.38265860080718994,0.6173413991928101
41,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,sony turntable pslx350h,sony turntable pslx350h belt drive system 33-1/3 and 45 rpm,,"('rtable_name', 'rtable_description', 'rtable_price')","['olympus fe-360 digital camera pink 226540', ""8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd"", 104.95]","['sony turntable pslx350h', 'sony turntable pslx350h belt drive system 33-1/3 and 45 rpm', nan]",0.9457656033337116,0.054234396666288376
42,linksys etherfast ezxs88w ethernet switch ezxs88w,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name',)",['sony pink cyber-shot 7.2 megapixel digital camera dscw120p'],['linksys etherfast ezxs88w ethernet switch ezxs88w'],0.9514814019203186,0.048518598079681396
43,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,8-port 10/100 switch ( new/workgroup ),,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_description',)","[""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]",['8-port 10/100 switch ( new/workgroup )'],0.6635790169239044,0.3364209830760956
44,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_price',)",[nan],[nan],0.647765040397644,0.35223495960235596
45,linksys etherfast ezxs88w ethernet switch ezxs88w,8-port 10/100 switch ( new/workgroup ),,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name', 'ltable_description')","['sony pink cyber-shot 7.2 megapixel digital camera dscw120p', ""sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish""]","['linksys etherfast ezxs88w ethernet switch ezxs88w', '8-port 10/100 switch ( new/workgroup )']",0.9581554718315601,0.041844528168439865
46,linksys etherfast ezxs88w ethernet switch ezxs88w,sony pink cyber-shot 7.2 megapixel digital camera dscw120p 7.2 megapixel 4x optical zoom 2.5 ' tft lcd 15 mb internal memory face detection super steadyshot image stabilization smile shutter mode smart zoom pink finish,,olympus fe-360 digital camera pink 226540,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,104.95,"('ltable_name', 'ltable_price')","['sony pink cyber-shot 7.2 megapixel digital camera dscw120p', nan]","['linksys etherfast ezxs88w ethernet switch ezxs88w', nan]",0.9514814019203186,0.048518598079681396
