,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score
10,Fistmas,Revolution Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale']","['Fistmas', 'Revolution Brewing Company', 'American Amber / Red Ale']",0.6672128140926361,0.3327871859073639
11,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', '8.20 %']","['Fistmas', 'Revolution Brewing Company', '6.10 %']",0.2963106036186218,0.7036893963813782
12,Fistmas,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale', '8.20 %']","['Fistmas', 'American Amber / Red Ale', '6.10 %']",0.29448992013931274,0.7055100798606873
13,Double Dragon Imperial Red Ale,Revolution Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Revolution Brewing Company', 'American Amber / Red Ale', '6.10 %']",0.942396242171526,0.057603757828474045
14,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Fistmas', 'Revolution Brewing Company', 'American Amber / Red Ale', '6.10 %']",0.2963106036186218,0.7036893963813782
15,Native Amber,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name',)",['Double Dragon Imperial Red Ale'],['Native Amber'],0.8522378653287888,0.14776213467121124
16,Double Dragon Imperial Red Ale,Coop Ale Works,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name',)",['Phillips Brewing Company'],['Coop Ale Works'],0.979838078841567,0.02016192115843296
17,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.9819662719964981,0.018033728003501892
18,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_ABV',)",['8.20 %'],['6.10 %'],0.9423513151705265,0.057648684829473495
19,Native Amber,Coop Ale Works,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company']","['Native Amber', 'Coop Ale Works']",0.8382408320903778,0.1617591679096222
20,Native Amber,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale']","['Native Amber', 'American Amber / Red Ale']",0.8522378355264664,0.14776216447353363
21,Native Amber,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', '8.20 %']","['Native Amber', '6.10 %']",0.5569302141666412,0.44306978583335876
22,Double Dragon Imperial Red Ale,Coop Ale Works,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Phillips Brewing Company', 'American Amber / Red Ale']","['Coop Ale Works', 'American Amber / Red Ale']",0.979838078841567,0.02016192115843296
23,Double Dragon Imperial Red Ale,Coop Ale Works,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Phillips Brewing Company', '8.20 %']","['Coop Ale Works', '6.10 %']",0.9359337612986565,0.06406623870134354
24,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '8.20 %']","['American Amber / Red Ale', '6.10 %']",0.9423513151705265,0.057648684829473495
25,Native Amber,Coop Ale Works,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale']","['Native Amber', 'Coop Ale Works', 'American Amber / Red Ale']",0.8382408171892166,0.1617591828107834
26,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', '8.20 %']","['Native Amber', 'Coop Ale Works', '6.10 %']",0.5325265526771545,0.46747344732284546
27,Native Amber,Phillips Brewing Company,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale', '8.20 %']","['Native Amber', 'American Amber / Red Ale', '6.10 %']",0.556930273771286,0.443069726228714
28,Double Dragon Imperial Red Ale,Coop Ale Works,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Coop Ale Works', 'American Amber / Red Ale', '6.10 %']",0.9359337612986565,0.06406623870134354
29,Native Amber,Coop Ale Works,American Amber / Red Ale,6.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Native Amber', 'Coop Ale Works', 'American Amber / Red Ale', '6.10 %']",0.5325265526771545,0.46747344732284546
30,Rexx,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name',)",['Double Dragon Imperial Red Ale'],['Rexx'],0.5835368931293488,0.41646310687065125
31,Double Dragon Imperial Red Ale,Clown Shoes,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name',)",['Phillips Brewing Company'],['Clown Shoes'],0.9783474504947662,0.021652549505233765
32,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.9819662719964981,0.018033728003501892
33,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_ABV',)",['8.20 %'],['12.00 %'],0.9778974540531635,0.02210254594683647
34,Rexx,Clown Shoes,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company']","['Rexx', 'Clown Shoes']",0.542204350233078,0.457795649766922
35,Rexx,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale']","['Rexx', 'American Amber / Red Ale']",0.5835368633270264,0.41646313667297363
36,Rexx,Phillips Brewing Company,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', '8.20 %']","['Rexx', '12.00 %']",0.526918351650238,0.47308164834976196
37,Double Dragon Imperial Red Ale,Clown Shoes,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Phillips Brewing Company', 'American Amber / Red Ale']","['Clown Shoes', 'American Amber / Red Ale']",0.9783474504947662,0.021652549505233765
38,Double Dragon Imperial Red Ale,Clown Shoes,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Phillips Brewing Company', '8.20 %']","['Clown Shoes', '12.00 %']",0.9734769705682993,0.026523029431700706
39,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '8.20 %']","['American Amber / Red Ale', '12.00 %']",0.977897459641099,0.022102540358901024
40,Rexx,Clown Shoes,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale']","['Rexx', 'Clown Shoes', 'American Amber / Red Ale']",0.5422043800354004,0.4577956199645996
41,Rexx,Clown Shoes,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', '8.20 %']","['Rexx', 'Clown Shoes', '12.00 %']",0.48528534173965454,0.5147146582603455
42,Rexx,Phillips Brewing Company,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale', '8.20 %']","['Rexx', 'American Amber / Red Ale', '12.00 %']",0.526918351650238,0.47308164834976196
43,Double Dragon Imperial Red Ale,Clown Shoes,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Clown Shoes', 'American Amber / Red Ale', '12.00 %']",0.9734769705682993,0.026523029431700706
44,Rexx,Clown Shoes,American Amber / Red Ale,12.00 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Rexx', 'Clown Shoes', 'American Amber / Red Ale', '12.00 %']",0.48528534173965454,0.5147146582603455
45,Scuttlebutt Amber,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name',)",['Double Dragon Imperial Red Ale'],['Scuttlebutt Amber'],0.7281774282455444,0.27182257175445557
46,Double Dragon Imperial Red Ale,Scuttlebutt Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name',)",['Phillips Brewing Company'],['Scuttlebutt Brewing Company'],0.9811159577220678,0.018884042277932167
47,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.9819662719964981,0.018033728003501892
48,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_ABV',)",['8.20 %'],['5.10 %'],0.9474100135266781,0.052589986473321915
49,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company']","['Scuttlebutt Amber', 'Scuttlebutt Brewing Company']",0.719558447599411,0.280441552400589
50,Scuttlebutt Amber,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale']","['Scuttlebutt Amber', 'American Amber / Red Ale']",0.7281774580478668,0.2718225419521332
51,Scuttlebutt Amber,Phillips Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', '8.20 %']","['Scuttlebutt Amber', '5.10 %']",0.38252902030944824,0.6174709796905518
52,Double Dragon Imperial Red Ale,Scuttlebutt Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Phillips Brewing Company', 'American Amber / Red Ale']","['Scuttlebutt Brewing Company', 'American Amber / Red Ale']",0.9811159633100033,0.01888403668999672
53,Double Dragon Imperial Red Ale,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Phillips Brewing Company', '8.20 %']","['Scuttlebutt Brewing Company', '5.10 %']",0.9450165443122387,0.05498345568776131
54,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '8.20 %']","['American Amber / Red Ale', '5.10 %']",0.9474100135266781,0.052589986473321915
55,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale']","['Scuttlebutt Amber', 'Scuttlebutt Brewing Company', 'American Amber / Red Ale']",0.7195584177970886,0.2804415822029114
56,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', '8.20 %']","['Scuttlebutt Amber', 'Scuttlebutt Brewing Company', '5.10 %']",0.3739720582962036,0.6260279417037964
57,Scuttlebutt Amber,Phillips Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale', '8.20 %']","['Scuttlebutt Amber', 'American Amber / Red Ale', '5.10 %']",0.38252902030944824,0.6174709796905518
58,Double Dragon Imperial Red Ale,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Scuttlebutt Brewing Company', 'American Amber / Red Ale', '5.10 %']",0.9450165443122387,0.05498345568776131
59,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.10 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale', '8.20 %']","['Scuttlebutt Amber', 'Scuttlebutt Brewing Company', 'American Amber / Red Ale', '5.10 %']",0.3739720582962036,0.6260279417037964
60,1881 Sacramento,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name',)",['Double Dragon Imperial Red Ale'],['1881 Sacramento'],0.5876076221466064,0.41239237785339355
61,Double Dragon Imperial Red Ale,Ruhstaller,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name',)",['Phillips Brewing Company'],['Ruhstaller'],0.9765402264893055,0.023459773510694504
62,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.9819662719964981,0.018033728003501892
63,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,5.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_ABV',)",['8.20 %'],['5.60 %'],0.9736796170473099,0.026320382952690125
64,1881 Sacramento,Ruhstaller,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company']","['1881 Sacramento', 'Ruhstaller']",0.5168893337249756,0.4831106662750244
65,1881 Sacramento,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'American Amber / Red Ale']","['1881 Sacramento', 'American Amber / Red Ale']",0.5876076221466064,0.41239237785339355
66,1881 Sacramento,Phillips Brewing Company,American Amber / Red Ale,5.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', '8.20 %']","['1881 Sacramento', '5.60 %']",0.49385565519332886,0.5061443448066711
67,Double Dragon Imperial Red Ale,Ruhstaller,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Phillips Brewing Company', 'American Amber / Red Ale']","['Ruhstaller', 'American Amber / Red Ale']",0.9765402264893055,0.023459773510694504
68,Double Dragon Imperial Red Ale,Ruhstaller,American Amber / Red Ale,5.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Phillips Brewing Company', '8.20 %']","['Ruhstaller', '5.60 %']",0.9658126309514046,0.03418736904859543
69,Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,5.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '8.20 %']","['American Amber / Red Ale', '5.60 %']",0.9736796226352453,0.026320377364754677
70,1881 Sacramento,Ruhstaller,American Amber / Red Ale,8.20 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', 'American Amber / Red Ale']","['1881 Sacramento', 'Ruhstaller', 'American Amber / Red Ale']",0.516889363527298,0.483110636472702
71,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.60 %,Scuttlebutt Mateo Loco Imperial Red Ale,Scuttlebutt Brewing Co. .,American Strong Ale,7.10 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_ABV')","['Double Dragon Imperial Red Ale', 'Phillips Brewing Company', '8.20 %']","['1881 Sacramento', 'Ruhstaller', '5.60 %']",0.423134982585907,0.576865017414093
