,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,match
28,536,adobe photoshop elements 4.0 ( mac ),adobe,89.99,750,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,0.99999857
29,375,reel deal casino championship edition,phantom efx,19.99,532,phantom efx reel deal casino shuffle master edition,,17.24,0.9999902
30,1022,panda internet security 2007 3-user,panda software,69.95,2865,mcafee internet security suite 2007 3-user ( pc ),,89.99,6.6248944e-08
31,781,microsoft excel 2004 ( mac ),microsoft,229.99,3199,microsoft ( r ) office ultimate 2007,,539.95,3.3848414e-11
32,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,3160,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,0.98274314
33,578,microsoft office excel 2007,microsoft,229.95,2195,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,1.0452325e-05
34,276,instant immersion 33 languages,topics entertainment,49.99,3022,instant immersion 33 languages,,47.36,0.9996543
35,646,instant immersion german audio,topics entertainment,,836,topics entertainment instant immersion ingles audio deluxe,,17.55,0.9997291
36,511,microsoft publisher 2007 version upgrade,microsoft,99.95,2821,microsoft excel 2007 ( pc ),,229.95,1.1564324e-08
37,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,1514,microsoft windows vista home basic upgrade ( pc ),,99.99,9.888963e-07
38,587,microsoft word 2007 version upgrade,microsoft,109.95,1001,microsoft ( r ) money 2007 premium,,69.99,3.1958742e-09
39,1109,halo ( mac ),macsoft,29.99,2852,. mac ( mac ) apple,,99.99,1.0931979e-06
40,799,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,1592,passwords plus v. 1.0 complete package,,28.5,2.0670232e-07
41,1269,punch 5 in 1 home design,punch ! software,39.99,1433,punch software 20100 punch ! 5 in 1 home design,punch software,35.99,0.9999951
42,1258,punch ! home design architectura series 18,punch ! software,129.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,0.00021619828
43,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,897,adobe contribute cs3 upgrade,,82.99,0.9985285
44,539,learning quickbooks 2007,intuit,39.95,1311,quickbooks ( r ),,178.99,9.3525974e-05
45,897,adobe creative suite cs3 production premium upsell,adobe,1199.0,3017,production prem cs3 mac upgrad,,808.15,0.0011118616
46,22,musicalis guitar workshop,global-software-publishing,9.99,1435,musicalis universal guitar workshop,global-software-publishing,12.9,0.60629255
47,997,mac os x server v10 .4.7 unlimited client,apple,999.0,1599,apple apple mac os x server 10 4 7 10 client,,499.0,1.9025181e-05
48,348,microsoft office & windows training,topics entertainment,29.99,239,microsoft windows vista ultimate retail no open box returns,,399.99,0.7056372
49,112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,3119,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,0.9309556
