,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
380,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"ad @ ( dvâµâµ '' j '' rlp @ 6 @ 4 < t < 46zh fjzd4 > 0hâµ '' 20jf < . / , 880 < 46z , âµ b , 4d \ \ '' [ programs of psychosocial","m tresch , mh scholl , ibmar center , ca san jose","athens , greece ,",,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","[""ad @ ( dvâµâµ '' j '' rlp @ 6 @ 4 < t < 46zh fjzd4 > 0hâµ '' 20jf < . / , 880 < 46z , âµ b , 4d \\ \\ '' [ programs of psychosocial"", 'athens , greece ,']",0.161246657371521,0.838753342628479,2
374,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas","m tresch , mh scholl , ibmar center , ca san jose","proceedings of intern seminary â ?? olio dâ ?? oliva e olive da & hellip ; ,",,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas', 'proceedings of intern seminary â ?? olio dâ ?? oliva e olive da & hellip ; ,']",0.08854323625564575,0.9114567637443542,2
373,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas', nan]",0.17165875434875488,0.8283412456512451,2
372,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas']",0.08119004964828491,0.9188099503517151,2
367,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0', nan]",0.059091269969940186,0.9409087300300598,2
366,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0', nan]",0.059091269969940186,0.9409087300300598,2
365,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0', nan]",0.04205000400543213,0.9579499959945679,2
364,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['sql : 2003â ?? neue konzepte r manthey , a behrend sigmod record , 2004.0']",0.059091269969940186,0.9409087300300598,2
359,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,', nan]",0.09818357229232788,0.9018164277076721,2
358,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,', nan]",0.0981835126876831,0.9018164873123169,2
357,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,', nan]",0.19225460290908813,0.8077453970909119,2
356,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['h , w. wiedersich and g. schoeck h conrad , rw armstrong phil . mag. ,']",0.11341363191604614,0.8865863680839539,2
712,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"å ¸ ? æ ?? å ? 3/4 ä ¹ ¦ å ?? ä 1/2 ? å ® $ è ¯ ? microsoft office ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['å ¸ ? æ ?? å ? 3/4 ä ¹ ¦ å ?? ä 1/2 ? å ® $ è ¯ ? microsoft office ,']",0.058171987533569336,0.9418280124664307,2
375,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['identificazione di alcune sostanze aromatiche degli oli di oliva mediante glc-ms l camera , m solinas', nan]",0.08360326290130615,0.9163967370986938,2
351,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"informationsoptimierte merkmale zur grobregistrierung von freiform-flã $ chen n schã ¶ n , m benz , t maier , e nkenke , fw neukam , g procs bvmâ ?? 04 ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['informationsoptimierte merkmale zur grobregistrierung von freiform-flã $ chen n schã ¶ n , m benz , t maier , e nkenke , fw neukam , g procs bvmâ ?? 04 ,', nan]",0.0591389536857605,0.9408610463142395,2
406,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection', nan]",0.05606561899185181,0.9439343810081482,2
705,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0,,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0', nan]",0.03982800245285034,0.9601719975471497,2
699,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,computernetzwerke . autorisierte ã?bersetzung der amerikanischen originalausgabe computer,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['computernetzwerke . autorisierte ã?bersetzung der amerikanischen originalausgabe computer', nan]",0.06617176532745361,0.9338282346725464,2
455,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut', nan]",0.08695542812347412,0.9130445718765259,2
454,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut,"m tresch , mh scholl , ibmar center , ca san jose","term project , eth , zurich , switzerland , january ,",,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut', 'term project , eth , zurich , switzerland , january ,']",0.05607646703720093,0.9439235329627991,2
453,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut,,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut', nan]",0.18232214450836182,0.8176778554916382,2
452,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['faktorisierung von multivariaten polynomen ã 1/4 ber endliche n kã ¶ rpern unter verwendung der blackbox - c gut'],0.08695542812347412,0.9130445718765259,2
447,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0', nan]",0.049957215785980225,0.9500427842140198,2
446,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0', nan]",0.049957215785980225,0.9500427842140198,2
445,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0,,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0', nan]",0.060956597328186035,0.939043402671814,2
444,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['transplantationsexperimente und entwicklungsbeobachtungen in situ zur bestimmung des p ehrensperger 1972.0'],0.049957215785980225,0.9500427842140198,2
439,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben', nan]",0.05356180667877197,0.946438193321228,2
438,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben', nan]",0.05356180667877197,0.946438193321228,2
437,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben,,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben', nan]",0.03823959827423096,0.961760401725769,2
407,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection,"m tresch , mh scholl , ibmar center , ca san jose",,2000.0,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection', 2000.0]",0.05304288864135742,0.9469571113586426,2
436,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['strã ¶ mungslehre in fragen und aufgaben teubner 1997 h iben'],0.053533852100372314,0.9464661478996277,2
430,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,', nan]",0.0701245665550232,0.9298754334449768,2
429,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,","f naumann , u leser",,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,', 'f naumann , u leser']",0.045949339866638184,0.9540506601333618,2
428,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['andj . c. freytag . quality-driven integration of heterogenous information sources proceedings of internation conference on vldbâ ?? 99 ,']",0.0701245665550232,0.9298754334449768,2
423,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,', nan]",0.06318438053131104,0.936815619468689,2
422,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,', nan]",0.06318438053131104,0.936815619468689,2
421,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,",ms navashin,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,', 'ms navashin']",0.052489280700683594,0.9475107192993164,2
420,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['amphiplastie , eine neue karyologische erscheinung proc . int . conf . genet ,']",0.06318438053131104,0.936815619468689,2
704,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0'],0.06029850244522095,0.939701497554779,2
415,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl","m tresch , mh scholl , ibmar center , ca san jose",,1994.0,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl', 1994.0]",0.1416437029838562,0.8583562970161438,2
414,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl', nan]",0.09938514232635498,0.900614857673645,2
413,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['stabilitã $ t von talk , forsterit und enstatit im feld und experiment ( unpublished ) e guggenbuehl', nan]",0.21237778663635254,0.7876222133636475,2
