,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
17,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('rtable_title',)",['size separation spatial join'],['greek wetlands'],0.10606915,0.89393085,2
22,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,pa gerakes,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",1996.0,"('rtable_title', 'rtable_authors', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 1997.0]","['greek wetlands', 'pa gerakes', 1996.0]",0.010957955,0.9890421,3
21,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,pa gerakes,,1997.0,"('rtable_title', 'rtable_authors', 'rtable_venue')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,']","['greek wetlands', 'pa gerakes', nan]",0.053332914,0.9466671,3
14,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,superconductivity in d-and f-band metals,"jw garland , kh bennemann",proceedings of the conference on superconductivity in d-and,1997.0,"('rtable_title', 'rtable_authors', 'rtable_venue')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,']","['superconductivity in d-and f-band metals', 'jw garland , kh bennemann', 'proceedings of the conference on superconductivity in d-and']",0.18749267,0.8125074,3
12,size separation spatial join,"j patel , d dewitt",sigmod conference,1997,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_venue', 'ltable_year')","['partition based spatial-merge join', 'sigmod conference', 1996]","['size separation spatial join', 'sigmod conference', 1997]",0.0002911285,0.99970883,3
23,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,"n koudas , kc sevcik",,1996.0,"('rtable_title', 'rtable_venue', 'rtable_year')","['size separation spatial join', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,', 1997.0]","['greek wetlands', nan, 1996.0]",0.042360146,0.9576398,3
11,size separation spatial join,"n koudas , k sevcik",sigmod conference,1997,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_authors', 'ltable_year')","['partition based spatial-merge join', 'j patel , d dewitt', 1996]","['size separation spatial join', 'n koudas , k sevcik', 1997]",6.459429e-05,0.9999354,3
10,size separation spatial join,"n koudas , k sevcik",sigmod conference,1996,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_authors', 'ltable_venue')","['partition based spatial-merge join', 'j patel , d dewitt', 'sigmod conference']","['size separation spatial join', 'n koudas , k sevcik', 'sigmod conference']",6.3775784e-05,0.9999362,3
4,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"y zhuge , h garcia-molina , j hammer","proceedings of the 1997 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 1997.0]","['andj . widom . viewmaintenanceina warehousingenvironment', 'y zhuge , h garcia-molina , j hammer', nan]",0.027768062,0.972232,3
3,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"y zhuge , h garcia-molina , j hammer","proceedings of the acm sigmod ,",1997.0,"('rtable_title', 'rtable_authors', 'rtable_venue')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,']","['andj . widom . viewmaintenanceina warehousingenvironment', 'y zhuge , h garcia-molina , j hammer', 'proceedings of the acm sigmod ,']",0.33873126,0.6612688,3
15,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,superconductivity in d-and f-band metals,"jw garland , kh bennemann",proceedings of the conference on superconductivity in d-and,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,', 1997.0]","['superconductivity in d-and f-band metals', 'jw garland , kh bennemann', 'proceedings of the conference on superconductivity in d-and', nan]",0.24387723,0.7561228,4
16,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,the universal distribution and a free lunch for program induction,"j neil , j woodward",unpublished,,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,', 1997.0]","['the universal distribution and a free lunch for program induction', 'j neil , j woodward', 'unpublished', nan]",0.37805963,0.62194043,4
5,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"y zhuge , h garcia-molina , j hammer","proceedings of the acm sigmod ,",,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,', 1997.0]","['andj . widom . viewmaintenanceina warehousingenvironment', 'y zhuge , h garcia-molina , j hammer', 'proceedings of the acm sigmod ,', nan]",0.13222271,0.8677773,4
13,size separation spatial join,"n koudas , k sevcik",sigmod conference,1997,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_authors', 'ltable_venue', 'ltable_year')","['partition based spatial-merge join', 'j patel , d dewitt', 'sigmod conference', 1996]","['size separation spatial join', 'n koudas , k sevcik', 'sigmod conference', 1997]",6.459429e-05,0.9999354,4
24,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,pa gerakes,,1996.0,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['size separation spatial join', 'n koudas , kc sevcik', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,', 1997.0]","['greek wetlands', 'pa gerakes', nan, 1996.0]",0.053332914,0.9466671,4
