,ltable_id,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_id,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,match
17,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.04398670792579651
18,131,dive !,' 10250 santa monica blvd. ',` los angeles ',310/788 -,` dive american ',128,233,` palm the ( los angeles ) ',' 9001 santa monica blvd. ',` w. hollywood ',310-550-8811,steakhouses,15,0.04106847569346428
19,405,` luna si ',' 1931 peachtree rd. ',atlanta,404/355 -5993,continental,405,172,nava,' 3060 peachtree rd. ',atlanta,404-240-1984,southwestern,706,0.04261050745844841
20,92,toulouse,' b peachtree rd. ',atlanta,404/351 -9533,french,92,308,` ritz-carlton dining room ( buckhead ) ',' 3434 peachtree rd. ne ',atlanta,404-237-2700,` american ( new ) ',90,0.039753083139657974
21,448,` ralph \ 's diner ',' 3000 las vegas blvd. s ',` las vegas ',702/732 -6330,` coffee shops/diners ',448,125,'em eril \ 's new orleans fish house ',' 3799 las vegas blvd. s. ',` las vegas ',702-891-7374,seafood,659,0.05594075098633766
22,84,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,caribbean,84,302,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404-876-0676,eclectic,84,0.9436020255088806
23,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,242,aquavit,'13 w. 54th st. ',` new york city ',212-307-7311,scandinavian,24,0.351322203874588
24,74,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74,292,abruzzi,' 2355 peachtree rd. ne ',atlanta,404-261-8186,italian,74,0.9538793563842773
25,443,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,126,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,0.07181083410978317
26,50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60,0.04791918769478798
27,72,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,288,` palace court ',' 3570 las vegas blvd. s. ',` las vegas ',702-731-7110,` french ( new ) ',70,0.06422911584377289
28,431,` bugsy \ 's diner ',' 3555 las vegas blvd. s ',` las vegas ',702/733 -3111,` coffee shops/diners ',431,128,` madame ching \ 's ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7111,asian,662,0.042224057018756866
29,433,` cafe roma ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,` coffee shops/diners ',433,123,` buccaneer bay club ',' 3300 las vegas blvd. s. ',` las vegas ',702-894-7350,continental,657,0.05024382472038269
30,442,` lillie langtry \ 's ',' 129 e. fremont st. ',` las vegas ',702/385 -7111,asian,442,289,` second street grill ',' 200 e. fremont st. ',` las vegas ',702-385-6277,` pacific rim ',71,0.049896106123924255
31,410,palisades,' 1829 peachtree rd. ',atlanta,404/350 -6755,continental,410,295,` brasserie le coze ',' 3393 peachtree rd. ',atlanta,404-266-1440,` french bistro ',77,0.04260515421628952
32,437,` circus circus ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,buffets,437,136,` spago ( las vegas ) ',' 3500 las vegas blvd. s. ',` las vegas ',702-369-6300,californian,670,0.04663682356476784
33,165,` schatzi on main ',' 3110 main st. ',` los angeles ',310/399 -4800,continental,162,223,` chinois on main ',' 2709 main st. ',` santa monica ',310-392-9025,` pacific new wave ',5,0.06289472430944443
34,37,` island spice ',' 402 w. 44th st. ',` new york ',212/765 -1737,` tel caribbean ',37,255,` island spice ',' 402 w. 44th st. ',` new york city ',212-765-1737,caribbean,37,0.9547917246818542
35,148,` le dome ',' 8720 sunset blvd. ',` los angeles ',310/659 -6919,french,145,238,` spago ( los angeles ) ',' 8795 sunset blvd. ',` w. hollywood ',310-652-4025,californian,20,0.07928930968046188
36,406,` mambo restaurante cubano ',' 1402 n. highland ave. ',atlanta,404/874 -2626,caribbean,406,65,` uncle bill \ 's pancake house ',' 1305 highland ave. ',` manhattan beach ',310-545-5177,diners,599,0.033970195800065994
37,82,` hedgerose heights inn ',' 490 e. paces ferry rd. ',atlanta,404/233 -7673,international,82,141,' 103 west ',' 103 w. paces ferry rd. ',atlanta,404-233-5993,continental,675,0.07181458175182343
38,146,joss,' 9255 sunset blvd. ',` los angeles ',310/276 -1886,asian,143,225,` fenix at the argyle ',' 8358 sunset blvd. ',` w. hollywood ',213-848-6677,` french ( new ) ',7,0.0526132769882679
39,494,manora,' 3226 mission st. ',` san francisco ',415/861 -6224,asian,494,193,` dusit thai ',' 3221 mission st. ',` san francisco ',415-826-4639,thai,728,0.05299573391675949
40,429,bistro,' 3400 las vegas blvd. s ',` las vegas ',702/791 -7111,continental,429,131,` monte carlo ',' 3145 las vegas blvd. s. ',` las vegas ',702-733-4524,` french ( new ) ',665,0.2277294248342514
41,147,` le colonial ',' 8783 beverly blvd. ',` los angeles ',310/289 -0660,asian,144,33,` koo koo roo ',' 8393 w. beverly blvd. ',la,213-655-9045,chicken,567,0.15404507517814636
42,121,` ca \ ` brea ',' 346 s. la brea ave. ',` los angeles ',213/938 -2863,italian,118,52,` pink \ 's famous chili dogs ',' 709 n. la brea ave. ',la,213-931-4223,` hot dogs ',586,0.04876875504851341
43,170,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,224,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,6,0.09485821425914764
44,70,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,285,` chin \ 's ',' 3200 las vegas blvd. s. ',` las vegas ',702-733-8899,chinese,67,0.04420669376850128
45,427,` bertolini \ 's ',' 3570 las vegas blvd. s ',` las vegas ',702/735 -4663,italian,427,133,` morton \ 's of chicago ( las vegas ) ',' 3200 las vegas blvd. s. ',` las vegas ',702-893-0703,steakhouses,667,0.05397641658782959
46,326,` pen & pencil ',' 205 e. 45th st. ',` new york ',212/682 -8660,american,325,278,` shun lee palace ',' 155 e. 55th st. ',` new york city ',212-371-8844,chinese,60,0.04589413106441498
47,72,` steak house ',' 2880 las vegas blvd. s ',` las vegas ',702/734 -0410,` steak houses ',72,132,moongate,' 3400 las vegas blvd. s. ',` las vegas ',702-791-7352,chinese,666,0.040835555642843246
