,ltable_id,ltable_title,ltable_manufacturer,ltable_price,rtable_id,rtable_title,rtable_manufacturer,rtable_price,match
15,614,microsoft works suite 2006,microsoft,99.0,945,microsoft office 2004 student/teacher,,145.99,0.0330364853143692
16,1241,quicken legal business pro 2007,nolo press,79.99,3145,palo alto business plan pro 2007,,83.99,0.09846959263086319
17,1111,apple final cut studio 2 ( mac ),apple,1299.0,2755,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,0.19590824842453003
18,270,adobe acrobat 7.0 professional,adobe,449.99,2177,adobe after effects professional 7.0 software effects software,,998.95,0.05276506394147873
19,225,microsoft powerpoint 2004 ( mac ),microsoft,229.99,2837,microsoft money 2007 home and business ( pc ),,89.99,0.046287037432193756
20,597,adobe creative suite cs3 design premium [ mac ],adobe,1799.0,242,adobe cs3 design standard academic,,385.99,0.09107925742864609
21,661,adobe cs3 design standard macosx dvd,adobe,399.0,946,adobe cs3 design standard upgrade,,413.99,0.1183314248919487
22,705,professional home design suite platinum,punch ! software,99.95,2054,scrapbook designer platinum,riverdeep-learning-company,17.9,0.04858288913965225
23,1191,sims 2 glamour life stuff pack,aspyr media,24.99,567,aspyr media inc sims 2 glamour life stuff pack,,23.44,0.08007777482271194
24,606,microsoft office 2004 professional ( mac ),microsoft,499.99,1485,diskeeper 2007 professional,,46.95,0.09204500913619995
25,1030,final draft av 2.5 win/mac,final draft,199.99,2320,final-draft final draft av 2.5 screenwriting software mac/win screen writing software,,199.95,0.6113100647926331
26,1225,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,2383,sibelius photoscore professional scanning software music production software,sibelius-software-ltd .,179.95,0.4552929997444153
27,536,adobe photoshop elements 4.0 ( mac ),adobe,89.99,750,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,0.039144206792116165
28,375,reel deal casino championship edition,phantom efx,19.99,532,phantom efx reel deal casino shuffle master edition,,17.24,0.15015456080436707
29,1022,panda internet security 2007 3-user,panda software,69.95,2865,mcafee internet security suite 2007 3-user ( pc ),,89.99,0.03478007763624191
30,781,microsoft excel 2004 ( mac ),microsoft,229.99,3199,microsoft ( r ) office ultimate 2007,,539.95,0.10530246794223785
31,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,3160,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99,0.05999012663960457
32,578,microsoft office excel 2007,microsoft,229.95,2195,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,0.17617261409759521
33,276,instant immersion 33 languages,topics entertainment,49.99,3022,instant immersion 33 languages,,47.36,0.06407079100608826
34,646,instant immersion german audio,topics entertainment,,836,topics entertainment instant immersion ingles audio deluxe,,17.55,0.01526804082095623
35,511,microsoft publisher 2007 version upgrade,microsoft,99.95,2821,microsoft excel 2007 ( pc ),,229.95,0.20301224291324615
36,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,1514,microsoft windows vista home basic upgrade ( pc ),,99.99,0.0668022409081459
37,587,microsoft word 2007 version upgrade,microsoft,109.95,1001,microsoft ( r ) money 2007 premium,,69.99,0.03278467059135437
38,1109,halo ( mac ),macsoft,29.99,2852,. mac ( mac ) apple,,99.99,0.30925941467285156
39,799,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,1592,passwords plus v. 1.0 complete package,,28.5,0.29862549901008606
40,1258,punch ! home design architectura series 18,punch ! software,129.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97,0.05370510369539261
41,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,897,adobe contribute cs3 upgrade,,82.99,0.12275328487157822
42,539,learning quickbooks 2007,intuit,39.95,1311,quickbooks ( r ),,178.99,0.09180358052253723
43,897,adobe creative suite cs3 production premium upsell,adobe,1199.0,3017,production prem cs3 mac upgrad,,808.15,0.09386222809553146
44,22,musicalis guitar workshop,global-software-publishing,9.99,1435,musicalis universal guitar workshop,global-software-publishing,12.9,0.71886146068573
45,997,mac os x server v10 .4.7 unlimited client,apple,999.0,1599,apple apple mac os x server 10 4 7 10 client,,499.0,0.12236931920051575
46,348,microsoft office & windows training,topics entertainment,29.99,239,microsoft windows vista ultimate retail no open box returns,,399.99,0.07038254290819168
47,112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,3119,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,0.04918624460697174
