,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
10,1576,cost estimation of user-defined methods in object-relational database systems,"kinji ono , jihad boulos",sigmod record,1999,262,on supporting containment queries in relational database management systems,"chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman",international conference on management of data,2001,0.0538630448281765
11,2387,secure and portable database extensibility,"tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",sigmod conference,1998,1629,the montage extensible datablade architecture,michael ubell,international conference on management of data,1994,0.04768957570195198
12,1546,grid data management systems & services,"reagan moore , arun jagatheesan , paul watson , norman w. paton",vldb,2003,819,networked data management design points,james r. hamilton,very large data bases,1999,0.0525217242538929
13,1247,dynamic multi-resource load balancing in parallel database systems,"robert marek , erhard rahm",vldb,1995,807,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"masahisa tamura , masaru kitsuregawa",very large data bases,1999,0.043074093759059906
14,1239,partitioned garbage collection of large object store,"barbara liskov , umesh maheshwari",sigmod conference,1997,1647,partition selection policies in object database garbage collection,"jonathan e. cook , alexander l. wolf , benjamin g. zorn",international conference on management of data,1994,0.04619016498327255
15,2508,tods reviewers,richard t. snodgrass,sigmod record,2003,2129,book reviews,,acm sigmod record,2003,0.04833998531103134
16,267,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,2000,1787,query unnesting in object-oriented databases,leonidas fegaras,international conference on management of data,1998,0.0527007058262825
17,2123,the wasa2 object-oriented workflow management system,"mathias weske , gottfried vossen",sigmod conference,1999,1667,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994,0.05110343173146248
18,1034,optimizing multi-feature queries for image databases,"ulrich güntzer , werner kießling , wolf-tilo balke",vldb,2000,1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996,0.05571625381708145
19,1009,distance-based outliers : algorithms and applications,"v. tucakov , raymond t. ng , edwin m. knorr",vldb j.,2000,835,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999,0.04940587654709816
20,746,lore : a lightweight object repository for semistructured data,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",sigmod conference,1996,48,storing semistructured data with stored,"alin deutsch , mary fernandez , dan suciu",international conference on management of data,1999,0.05229099839925766
21,2315,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,400,disima : a distributed and interoperable image database system,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",international conference on management of data,2000,0.05149665102362633
22,343,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001,704,hd-eye : visual clustering of high dimensional data,"alexander hinneburg , daniel a. keim , markus wawryniuk",international conference on management of data,2002,0.05061643198132515
23,2404,a database model for object dynamics,"mike p. papazoglou , bernd j. krämer",vldb j.,1997,1579,an annotated bibliography of benchmarks for object databases,akmal b. chaudhri,acm sigmod record,1995,0.05656762421131134
24,1086,editorial,"peter m. g. apers , stefano ceri , richard t. snodgrass",vldb j.,2002,1216,guest editorial,"paolo atzeni , alberto o. mendelzon",the vldb journal -- the international journal on very large data bases,2000,0.06485922634601593
25,727,rate-based query optimization for streaming information sources,"jeffrey f. naughton , stratis viglas",sigmod conference,2002,306,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001,0.05426742136478424
26,198,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",vldb j.,2000,445,efficient and cost-effective techniques for browsing and indexing large video databases,"junghwan oh , kien a. hua",international conference on management of data,2000,0.05987539887428284
27,290,efficient computation of iceberg cubes with complex measures,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,2001,942,fast computation of sparse datacubes,"kenneth a. ross , divesh srivastava",very large data bases,1997,0.05419134348630905
28,1310,describing semistructured data,luca cardelli,sigmod record,2001,1313,a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001,0.05948338657617569
29,1119,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,1114,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,0.05637179687619209
30,470,a database system for real-time event aggregation in telecommunication,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",vldb,1998,2126,research issues for data communication in mobile ad-hoc network database systems,"leslie d. fife , le gruenwald",acm sigmod record,2003,0.050446800887584686
31,805,orthogonally persistent object systems,"malcolm p. atkinson , ronald morrison",vldb j.,1995,1666,ptool : a scalable persistent object manager,"r. l. grossman , x. qin",international conference on management of data,1994,0.0580277219414711
32,256,incremental clustering for mining in a data warehousing environment,"xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel",vldb,1998,1031,multiple-view self-maintenance in data warehousing environments,nam huyn,very large data bases,1997,0.05332810431718826
33,1321,xquery : a query language for xml,donald d. chamberlin,sigmod conference,2003,902,a graphical query language for mobile information systems,ya-hui chang,acm sigmod record,2003,0.05762865021824837
34,1228,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu",vldb,2001,943,merging ranks from heterogeneous internet sources,"luis gravano , hector garcia-molina",very large data bases,1997,0.057294879108667374
35,1016,implementation aspects of an object-oriented dbms,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",sigmod record,1995,1983,static detection of security flaws in object-oriented databases,keishi tajima,international conference on management of data,1996,0.053909000009298325
