,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match,label
22,800,aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems,"l liu , c pu , d buttler , w han , h paques , w tang",sigmod conference,2000,29677,mocha : a self-extensible database middleware system for distributed data sources,"m rodrä ± guez-martä ± nez , n roussopoulos","proceedings of the acm sigmod international conference on & hellip ; ,",2000.0,2.0261912e-05,0
23,806,metadata for multimedia documents,"k bіhm , t rakow",sigmod record,1994,6887,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,0.0001078549,0
24,925,lambda-db : an odmg-based object-oriented dbms,"l fegaras , c srinivasan , a rajendran , d maier",sigmod conference,2000,52718,sentinel : an object-oriented dbms with event-based rules .,"acms anthology , p edition",,,3.4627585e-05,0
25,1856,power efficient data gathering and aggregation in wireless sensor networks,"h tan , i korpeoglu",sigmod record,2003,43531,in-network aggregation trade-offs for data collection in wireless sensor networks,"i solis , k obraczka",,,1.949143e-05,0
26,74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002,40649,"university of illinois , urbana",ms bsee,"ph. d. , university of california , santa",,2.9388228e-05,0
27,2538,an introduction to spatial database systems,r gќting,vldb j.,1994,15659,introduction to a system for distributed databases ( sdd-1 ),"jb rothnie jr , pa bernstein , s fox , n goodman , m","acm transactions on database systems ( tods ) ,",1980.0,2.1378402e-05,0
28,19,mining generalized association rules,"r srikant , r agrawal",vldb,1995,6261,beyond market : generalizing association rules to correlations,"s brin , r motwani , c silverstein","processing of the acm sigmod conference ,",,1.9022804e-05,0
29,1391,local dimensionality reduction : a new approach to indexing high dimensional spaces,"k chakrabarti , s mehrotra",vldb,2000,10963,locally adaptive dimensionality reduction for indexing large time series databases,"e keogh , k chakrabarti , s mehrotra , m pazzani","sigmod conference ,",2001.0,2.2288867e-05,0
30,2113,processing sliding window multi-joins in continuous queries over data streams,"l golab , m жzsu",vldb,2003,4298,continuous queries over data streams,"s balu , j widom",,,2.2181275e-05,0
31,997,join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod conference,1999,53122,icicles : self-tuning samples for approximate query answering,"v ganti , ml lee , r ramakrishnan","vldb ,",2000.0,1.9333056e-05,0
32,667,advances in real-time database systems research,a bestavros,sigmod record,1996,8795,special issue on real-time database systems,a bestavros,"sigmod record ,",,5.984471e-05,0
33,2076,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,38242,compensation-based on-line query processing,"v srinivasan , mj carey","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,1.8961531e-05,0
34,425,editor 's notes,m franklin,sigmod record,1998,50887,editor 's notes,rh silkman,"new directions for program evaluation ,",,2.4980043e-05,0
35,1487,metu interoperable database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",sigmod conference,1996,16499,modern database systems,w kimâ ? ¦,,1995.0,2.2254966e-05,0
36,1785,sequence query processing,"p seshadri , m livny , r ramakrishnan",sigmod conference,1994,42348,xml query processing,"d florescu , d kossmann","data engineering , 2004 . proceedings . 20th international",,2.0351807e-05,0
37,1357,"set containment joins : the good , the bad and the ugly","k ramasamy , j patel , j naughton , r kaushik",vldb,2000,50278,"data management in ecommerce : the good , the bad , and the ugly",a gal,,,2.4569028e-05,0
38,1640,algorithms for mining association rules for binary segmentations of huge categorical databases,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,1998,55264,mining association rules between sets ofitems in large databases,"r agrawal , t imielinski , a swami","conference on management of data . washington ,",,2.3335773e-05,0
39,2213,generic database cost models for hierarchical memory systems,"s manegold , p boncz , m kersten",vldb,2002,26608,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,1.9282823e-05,0
40,2388,opt + + : an object-oriented implementation for extensible database query optimization,"n kabra , d dewitt",vldb j.,1999,27440,description logics for semantic query optimization in object-oriented database systems,"d beneventano , s bergamaschi , c sartori","acm transactions on database systems ,",2003.0,1.9028717e-05,0
41,2510,an experimental system for object-based sharing in federated databases,"d fang , s ghandeharizadeh",vldb j.,1996,18329,a dynamic model for conceptual clustering in object-oriented databases,"q li , j smith","proc . of vldb ,",,2.1359347e-05,0
42,479,reminiscences on influential papers,,,1999,14191,reminiscences on influential papers,e bertino,"acm transactions on database systems ,",1976.0,4.943537e-05,0
