23,300,"aries/csa : a method for database recovery in client-server architectures c. mohan , inderpal narang sigmod conference 1994",,,,1742,"aries/csa : a method for database recovery in client-server architectures c. mohan , inderpal narang international conference on management of data 1994",,,,0.9516127109527588
24,1972,binding propagation in disjunctive databases vldb 1998,sergio greco,,,778,binding propagation in disjunctive databases sergio greco,,very large data bases,1998.0,0.9576174020767212
25,1034,optimizing multi-feature queries for image databases vldb 2000,"ulrich güntzer , werner kießling , wolf-tilo balke",,,1046,"querying multiple features of groups in relational databases damianos chatziantoniou , kenneth a. ross 1996",,very large data bases,,0.04942041262984276
26,1009,distance-based outliers : algorithms and applications vldb j. 2000,"v. tucakov , raymond t. ng , edwin m. knorr",,,835,"finding intensional knowledge of distance-based outliers edwin m. knorr , raymond t. ng 1999",,very large data bases,,0.0495370589196682
27,469,infoharness : a system for search and retrieval of heterogeneous information,"amit p. sheth , vipul kashyap , satish thatte , leon a. shklar",sigmod conference,1995.0,1531,"infoharness : a system for search and retrieval of heterogeneous information leon shklar , amit sheth , vipul kashyap , satish thatte",,international conference on management of data,1995.0,0.9108473062515259
28,746,lore : a lightweight object repository for semistructured data 1996,"janet l. wiener , jason mchugh , serge abiteboul , qingshan luo , anand rajaraman , dallan quass , jeffrey d. ullman , roy goldman , hugo rivero , jennifer widom , svetlozar nestorov , kevin haas",sigmod conference,,48,"storing semistructured data with stored alin deutsch , mary fernandez , dan suciu international conference on management of data 1999",,,,0.05035005509853363
29,1681,sql/xml is making good progress sigmod record,"andrew eisenberg , jim melton",,2002.0,531,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record",,,2002.0,0.9100695252418518
30,2315,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",,,,400,"disima : a distributed and interoperable image database system vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao international conference on management of data",,,2000.0,0.05221223831176758
31,343,"outlier detection for high dimensional data charu c. aggarwal , philip s. yu 2001",,sigmod conference,,704,"hd-eye : visual clustering of high dimensional data alexander hinneburg , daniel a. keim , markus wawryniuk international conference on management of data",,,2002.0,0.0515461303293705
32,287,converting relational to object-oriented databases sigmod record 1997,joseph fong,,,1915,converting relational to object-oriented databases 1997,joseph fong,acm sigmod record,,0.9599184393882751
33,2404,a database model for object dynamics vldb j. 1997,"mike p. papazoglou , bernd j. krämer",,,1579,an annotated bibliography of benchmarks for object databases akmal b. chaudhri acm sigmod record,,,1995.0,0.05378930643200874
34,1086,editorial vldb j.,"peter m. g. apers , stefano ceri , richard t. snodgrass",,2002.0,1216,"guest editorial paolo atzeni , alberto o. mendelzon the vldb journal -- the international journal on very large data bases 2000",,,,0.0534784309566021
35,727,rate-based query optimization for streaming information sources sigmod conference 2002,"jeffrey f. naughton , stratis viglas",,,306,"a robust , optimization-based approach for approximate answering of aggregate queries 2001","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,,0.04992804676294327
36,198,"effective timestamping in databases christian s. jensen , kristian torp , richard t. snodgrass vldb j. 2000",,,,445,"efficient and cost-effective techniques for browsing and indexing large video databases junghwan oh , kien a. hua 2000",,international conference on management of data,,0.052115876227617264
37,290,efficient computation of iceberg cubes with complex measures 2001,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,,942,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",,very large data bases,,0.04933628439903259
38,1684,"social , educational , and governmental change enabled through information technology vldb","michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",,2000.0,1381,"social , educational , and governmental change enabled through information technology very large data bases 2000","krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",,,0.9422731995582581
39,1310,describing semistructured data sigmod record,luca cardelli,,2001.0,1313,a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001.0,0.05064879730343819
40,1613,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,2015,transparent mid-tier database caching in sql server international conference on management of data 2003,"per - &#197; ke larson , jonathan goldstein , jingren zhou",,,0.9489617943763733
41,1119,an annotated bibliography on real-time database systems 1995,özgür ulusoy,sigmod record,,1114,promises and realities of active database systems very large data bases 1995,"eric simon , angelika kotz dittrich",,,0.05058349668979645
42,1221,coss : the common object services specifications sigmod conference 1994,bruce e. martin,,,1616,coss : the common object services specifications bruce e. martin international conference on management of data,,,1994.0,0.8958411812782288
43,470,a database system for real-time event aggregation in telecommunication vldb,"henry f. korth , jerry baulier , abraham silberschatz , stephen blott",,1998.0,2126,research issues for data communication in mobile ad-hoc network database systems,"leslie d. fife , le gruenwald",acm sigmod record,2003.0,0.050745852291584015
44,1841,anatomy of a real e-commerce system anant jhingran sigmod conference 2000,,,,397,anatomy of a real e-commerce system anant jhingran international conference on management of data 2000,,,,0.9340996742248535
45,805,orthogonally persistent object systems,"malcolm p. atkinson , ronald morrison",vldb j.,1995.0,1666,ptool : a scalable persistent object manager international conference on management of data,"r. l. grossman , x. qin",,1994.0,0.049360472708940506
46,256,"incremental clustering for mining in a data warehousing environment xiaowei xu , michael wimmer , jörg sander , martin ester , hans-peter kriegel vldb 1998",,,,1031,multiple-view self-maintenance in data warehousing environments nam huyn,,very large data bases,1997.0,0.049126509577035904
47,1321,xquery : a query language for xml donald d. chamberlin 2003,,sigmod conference,,902,a graphical query language for mobile information systems 2003,ya-hui chang,acm sigmod record,,0.05404973030090332
48,1228,"answering xml queries on heterogeneous data sources ioana manolescu , donald kossmann , daniela florescu vldb",,,2001.0,943,merging ranks from heterogeneous internet sources very large data bases,"luis gravano , hector garcia-molina",,1997.0,0.04897515848278999
49,1016,implementation aspects of an object-oriented dbms 1995,"ilker durusoy , cetin ozkan , mehmet altinel , asuman dogac",sigmod record,,1983,static detection of security flaws in object-oriented databases international conference on management of data 1996,keishi tajima,,,0.047783322632312775
