,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,diff,attr_name,attr_pos,id,match_score
5,2558,4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'class', '4gb'}",ltable_title,1,0@2558#1@2139,0.30118278
6,2559,pny 4gb class,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'car', '11.18', 'navy', '4', 'audio', 'sd'}",ltable_title,1,0@2559#1@2139,0.14287248
7,2560,navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'class', '4gb', '4'}",ltable_title,1,0@2560#1@2139,0.2806233
8,2561,pny 4gb class 4,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'car', '11.18', 'navy', 'audio', 'sd'}",ltable_title,1,0@2561#1@2139,0.18175116
9,2562,sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'class', '4gb', '4'}",ltable_title,1,0@2562#1@2139,0.28512844
10,2563,pny 4gb class 4 navy,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'car', '11.18', 'audio', 'sd'}",ltable_title,1,0@2563#1@2139,0.24275748
11,2564,card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'class', '4gb', '4', 'sd'}",ltable_title,1,0@2564#1@2139,0.29303432
12,2565,pny 4gb class 4 navy sd,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'car', '11.18', 'audio'}",ltable_title,1,0@2565#1@2139,0.25553492
13,2566,car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'class', '4gb', '4', 'sd'}",ltable_title,1,0@2566#1@2139,0.26929185
14,2567,pny 4gb class 4 navy sd card,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'video', '/', 'p-sdhc4g4-ef', 'car', '11.18', 'audio'}",ltable_title,1,0@2567#1@2139,0.2553433
15,2568,audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'class', 'car', '4gb', '4', 'sd'}",ltable_title,1,0@2568#1@2139,0.27789128
16,2569,pny 4gb class 4 navy sd card car,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'/', 'p-sdhc4g4-ef', '11.18', 'video', 'audio'}",ltable_title,1,0@2569#1@2139,0.22164501
17,2570,video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'class', 'car', '4gb', '4', 'audio', 'sd'}",ltable_title,1,0@2570#1@2139,0.2268558
18,2571,pny 4gb class 4 navy sd card car audio,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'/', 'p-sdhc4g4-ef', '11.18', 'video'}",ltable_title,1,0@2571#1@2139,0.22611605
19,2572,pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', 'class', 'car', '4gb', '4', 'audio', 'sd'}",ltable_title,1,0@2572#1@2139,0.18905662
20,2573,pny 4gb class 4 navy sd card car audio video,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'p-sdhc4g4-ef', '11.18', '/'}",ltable_title,1,0@2573#1@2139,0.22397657
21,2574,p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', 'class', 'car', '4gb', 'pny', '4', 'audio', 'sd'}",ltable_title,1,0@2574#1@2139,0.10464024
22,2575,pny 4gb class 4 navy sd card car audio video pny,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'p-sdhc4g4-ef', '11.18', '/'}",ltable_title,1,0@2575#1@2139,0.23152237
23,2576,/ navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', 'p-sdhc4g4-ef', 'class', 'car', '4gb', 'pny', '4', 'audio', 'sd'}",ltable_title,1,0@2576#1@2139,0.10464024
24,2577,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'11.18', '/'}",ltable_title,1,0@2577#1@2139,0.23152237
25,2578,navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'class', 'car', '4gb', 'pny', '4', 'audio', 'sd'}",ltable_title,1,0@2578#1@2139,0.12319417
26,2579,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef /,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,-{'11.18'},ltable_title,1,0@2579#1@2139,0.22273846
27,2580,11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'class', 'car', 'navy', '4gb', 'pny', '4', 'audio', 'sd'}",ltable_title,1,0@2580#1@2139,0.08905555
28,2581,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,-{'11.18'},ltable_title,1,0@2581#1@2139,0.21955305
,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,diff,attr_name,attr_pos,id,match_score
0,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,,,,0@278#1@278,0.0027991189
1,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22074,hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,-{'da-lite'},rtable_title,7,0@278#1@22074,0.0027991189
2,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22075,da-lite,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'format', 'x', '8', 'vision', 'av', 'electrol', 'diagonal', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22075,0.13760598
3,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22076,cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'da-lite', 'hc'}",rtable_title,7,0@278#1@22076,0.0027350776
4,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22077,da-lite hc,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'vision', 'av', 'electrol', 'diagonal', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22077,0.17064387
5,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22078,vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'da-lite', 'hc', 'cinema'}",rtable_title,7,0@278#1@22078,0.0014280445
6,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22079,da-lite hc cinema,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'vision', 'av', 'electrol', 'diagonal', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22079,0.19386913
7,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22080,tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'hc', 'vision', 'da-lite', 'cinema'}",rtable_title,7,0@278#1@22080,0.0021116321
8,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22081,da-lite hc cinema vision,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'av', 'electrol', 'diagonal', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22081,0.12044005
9,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22082,advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'hc', 'vision', 'da-lite', 'cinema', 'tensioned'}",rtable_title,7,0@278#1@22082,0.0027234254
10,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22083,da-lite hc cinema vision tensioned,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'av', 'electrol', 'diagonal', 'advantage'}",rtable_title,7,0@278#1@22083,0.17250428
11,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22084,electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'hc', 'vision', 'da-lite', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22084,0.0061320327
12,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22085,da-lite hc cinema vision tensioned advantage,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'av', 'electrol', 'diagonal'}",rtable_title,7,0@278#1@22085,0.12755957
13,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22086,- av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'hc', 'vision', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22086,0.0061320327
14,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22087,da-lite hc cinema vision tensioned advantage electrol,electronics - general,da-lite,89939,2595.0,"-{'-', 'format', 'x', '8', 'av', 'diagonal'}",rtable_title,7,0@278#1@22087,0.12755957
15,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22088,av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'vision', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22088,0.009916998
16,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22089,da-lite hc cinema vision tensioned advantage electrol -,electronics - general,da-lite,89939,2595.0,"-{'format', 'x', '8', 'av', 'diagonal'}",rtable_title,7,0@278#1@22089,0.054812096
17,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22090,format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'vision', 'av', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22090,0.02088323
18,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22091,da-lite hc cinema vision tensioned advantage electrol - av,electronics - general,da-lite,89939,2595.0,"-{'format', 'x', '8', 'diagonal'}",rtable_title,7,0@278#1@22091,0.03728928
19,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22092,8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'format', 'vision', 'av', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22092,0.042707272
20,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22093,da-lite hc cinema vision tensioned advantage electrol - av format,electronics - general,da-lite,89939,2595.0,"-{'diagonal', 'x', '8'}",rtable_title,7,0@278#1@22093,0.015486618
21,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22094,x 8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'format', 'vision', 'av', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22094,0.060752608
22,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22095,da-lite hc cinema vision tensioned advantage electrol - av format 8,electronics - general,da-lite,89939,2595.0,"-{'diagonal', 'x'}",rtable_title,7,0@278#1@22095,0.0080352435
23,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22096,8 diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'format', 'x', 'vision', 'av', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22096,0.12810998
24,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22097,da-lite hc cinema vision tensioned advantage electrol - av format 8 x,electronics - general,da-lite,89939,2595.0,-{'diagonal'},rtable_title,7,0@278#1@22097,0.0038642262
25,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22098,diagonal,electronics - general,da-lite,89939,2595.0,"-{'-', 'hc', 'format', 'x', '8', 'vision', 'av', 'da-lite', 'electrol', 'cinema', 'tensioned', 'advantage'}",rtable_title,7,0@278#1@22098,0.11649568
26,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22099,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8,electronics - general,da-lite,89939,2595.0,-{'diagonal'},rtable_title,7,0@278#1@22099,0.0032073609
27,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22100,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,- general,da-lite,89939,2595.0,-{'electronics'},rtable_category,8,0@278#1@22100,0.0022616584
28,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22101,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics,da-lite,89939,2595.0,"-{'-', 'general'}",rtable_category,8,0@278#1@22101,0.0037083698
29,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22102,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,general,da-lite,89939,2595.0,"-{'-', 'electronics'}",rtable_category,8,0@278#1@22102,0.0027420695
30,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,22103,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics -,da-lite,89939,2595.0,-{'general'},rtable_category,8,0@278#1@22103,0.0026620757
0,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,,,,0@9064#1@9064,0.0011321219
1,2554,da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,-{'hc'},ltable_title,1,0@2554#1@9064,0.0010422767
2,2555,hc,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'format', 'x', 'av', 'da-lite', 'electrol', 'tensioned', '50', 'advantage'}",ltable_title,1,0@2555#1@9064,0.05872558
3,2556,tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-mat', 'hc'}",ltable_title,1,0@2556#1@9064,0.0010422767
4,2557,hc da-mat,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'format', 'x', 'av', 'da-lite', 'electrol', 'tensioned', '50', 'advantage'}",ltable_title,1,0@2557#1@9064,0.05872558
5,2558,advantage electrol - av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-mat', 'hc', 'tensioned'}",ltable_title,1,0@2558#1@9064,0.0011965893
6,2559,hc da-mat tensioned,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'format', 'x', 'av', 'da-lite', 'electrol', '50', 'advantage'}",ltable_title,1,0@2559#1@9064,0.06018149
7,2560,electrol - av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-mat', 'hc', 'tensioned', 'advantage'}",ltable_title,1,0@2560#1@9064,0.0033411658
8,2561,hc da-mat tensioned advantage,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'format', 'x', 'av', 'da-lite', 'electrol', '50'}",ltable_title,1,0@2561#1@9064,0.0315443
9,2562,- av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-mat', 'hc', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2562#1@9064,0.0033411658
10,2563,hc da-mat tensioned advantage electrol,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'format', 'x', 'av', 'da-lite', '50'}",ltable_title,1,0@2563#1@9064,0.0315443
11,2564,av format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'hc', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2564#1@9064,0.0072198776
12,2565,hc da-mat tensioned advantage electrol -,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'format', 'x', 'av', 'da-lite', '50'}",ltable_title,1,0@2565#1@9064,0.00894431
13,2566,format 50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'hc', 'av', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2566#1@9064,0.014367642
14,2567,hc da-mat tensioned advantage electrol - av,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'format', 'x', 'da-lite', '50'}",ltable_title,1,0@2567#1@9064,0.0065829954
15,2568,50 x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'hc', 'format', 'av', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2568#1@9064,0.028585587
16,2569,hc da-mat tensioned advantage electrol - av format,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-lite', 'x', '50'}",ltable_title,1,0@2569#1@9064,0.0028311051
17,2570,x 50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'hc', 'format', 'av', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2570#1@9064,0.038712308
18,2571,hc da-mat tensioned advantage electrol - av format 50,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'da-lite', 'x'}",ltable_title,1,0@2571#1@9064,0.002153748
19,2572,50 da-lite,projection screens,,,,9064,hc da-mat tensioned advantage electrol - av format 50 x 50 da-lite,projection screens,,,,"-{'-', 'da-mat', 'hc', 'format', 'x', 'av', 'electrol', 'tensioned', 'advantage'}",ltable_title,1,0@2572#1@9064,0.07751496
